Sample,Timestamp,Measured Motor Steps,Target Motor Steps
0,0.05,-3740.31,-3788.17
1,0.59,-3740.28,-3788.17
2,1.06,-3740.31,-3788.17
3,1.53,-3740.33,-3788.17
4,2.08,-3740.34,-3788.17
5,2.55,-3740.34,-3788.17
6,3.10,-3740.32,-3788.17
7,3.58,-3740.31,-3788.17
8,4.04,-3740.28,-3788.17
9,4.59,-3740.33,-3788.17
10,5.06,-3740.32,-3788.17
11,5.61,-3740.34,-3788.17
12,6.07,-3740.32,-3788.17
13,6.55,-3740.31,-3788.17
14,7.09,-3740.31,-3788.17
15,7.55,-3740.28,-3788.17
16,8.08,-3740.32,-3788.17
17,8.56,-3740.33,-3788.17
18,9.10,-3740.31,-3788.17
19,9.58,-3740.31,-3788.17
20,10.05,-3740.32,-3788.17
21,10.61,-3740.28,-3788.17
22,11.07,-3740.33,-3788.17
23,11.55,-3740.33,-3788.17
24,12.09,-3740.33,-3788.17
25,12.57,-3740.31,-3788.17
26,13.04,-3740.36,-3788.17
27,13.59,-3740.31,-3788.17
28,14.05,-3740.34,-3788.17
29,14.54,-3740.37,-3788.17
30,15.08,-3740.28,-3788.17
31,15.54,-3740.31,-3788.17
32,16.09,-3740.31,-3788.17
33,16.56,-3740.32,-3788.17
34,17.10,-3740.31,-3788.17
35,17.57,-3740.31,-3788.17
36,18.11,-3740.33,-3788.17
37,18.58,-3740.26,-3788.17
38,19.05,-3740.32,-3788.17
39,19.60,-3740.34,-3788.17
40,20.06,-3740.31,-3788.17
41,20.55,-3740.28,-3788.17
42,21.09,-3740.33,-3788.17
43,21.57,-3740.34,-3788.17
44,22.04,-3740.28,-3788.17
45,22.59,-3740.34,-3788.17
46,23.05,-3740.33,-3788.17
47,23.60,-3740.36,-3788.17
48,24.07,-3740.31,-3788.17
49,24.63,-3740.33,-3788.17
50,25.09,-3740.33,-3788.17
51,25.57,-3740.31,-3788.17
52,26.04,-3740.31,-3788.17
53,26.60,-3740.33,-3788.17
54,27.06,-3740.32,-3788.17
55,27.54,-3740.32,-3788.17
56,28.07,-3740.34,-3788.17
57,28.55,-3740.34,-3788.17
58,29.09,-3740.31,-3788.17
59,29.57,-3740.33,-3788.17
60,30.11,-3740.33,-3788.17
61,30.58,-3740.32,-3788.17
62,31.04,-3740.32,-3788.17
63,31.58,-3740.33,-3788.17
64,32.05,-3740.32,-3788.17
65,32.60,-3740.31,-3788.17
66,33.07,-3740.31,-3788.17
67,33.54,-3740.31,-3788.17
68,34.09,-3740.33,-3788.17
69,34.56,-3740.34,-3788.17
70,35.10,-3740.33,-3788.17
71,35.57,-3740.33,-3788.17
72,36.04,-3740.34,-3788.17
73,36.58,-3740.33,-3788.17
74,37.05,-3740.33,-3788.17
75,37.60,-3740.31,-3788.17
76,38.07,-3740.32,-3788.17
77,38.54,-3740.34,-3788.17
78,39.08,-3740.33,-3788.17
79,39.55,-3740.36,-3788.17
80,40.10,-3740.32,-3788.17
81,40.56,-3740.33,-3788.17
82,41.11,-3740.36,-3788.17
83,41.57,-3740.33,-3788.17
84,42.05,-3740.31,-3788.17
85,42.60,-3740.32,-3788.17
86,43.08,-3740.34,-3788.17
87,43.55,-3740.31,-3788.17
88,44.10,-3740.32,-3788.17
89,44.56,-3740.33,-3788.17
90,45.10,-3740.32,-3788.17
91,45.57,-3740.33,-3788.17
92,46.11,-3740.32,-3788.17
93,46.57,-3740.28,-3788.17
94,47.04,-3740.31,-3788.17
95,47.59,-3740.32,-3788.17
96,48.06,-3740.33,-3788.17
97,48.61,-3740.32,-3788.17
98,49.08,-3740.31,-3788.17
99,49.55,-3740.32,-3788.17
100,50.09,-3740.31,-3788.17
101,50.55,-3740.31,-3788.17
102,51.10,-3740.36,-3788.17
103,51.57,-3740.27,-3788.17
104,52.05,-3740.33,-3788.17
105,52.59,-3740.32,-3788.17
106,53.07,-3740.32,-3788.17
107,53.54,-3740.28,-3788.17
108,54.09,-3740.34,-3788.17
109,54.55,-3740.32,-3788.17
110,55.10,-3740.31,-3788.17
111,55.57,-3740.32,-3788.17
112,56.04,-3740.38,-3788.17
113,56.58,-3740.32,-3788.17
114,57.04,-3740.32,-3788.17
115,57.59,-3740.33,-3788.17
116,58.05,-3740.37,-3788.17
117,58.60,-3740.32,-3788.17
118,59.06,-3740.32,-3788.17
119,59.54,-3740.32,-3788.17
120,60.08,-3740.33,-3788.17
121,60.54,-3740.31,-3788.17
122,61.08,-3740.33,-3788.17
123,61.56,-3740.37,-3788.17
124,62.10,-3740.34,-3788.17
125,62.58,-3740.28,-3788.17
126,63.04,-3740.34,-3788.17
127,63.59,-3740.33,-3788.17
128,64.05,-3740.27,-3788.17
129,64.59,-3740.36,-3788.17
130,65.06,-3740.31,-3788.17
131,65.54,-3740.28,-3788.17
132,66.08,-3740.31,-3788.17
133,66.55,-3740.36,-3788.17
134,67.09,-3740.34,-3788.17
135,67.57,-3740.31,-3788.17
136,68.05,-3740.33,-3788.17
137,68.60,-3740.36,-3788.17
138,69.06,-3740.32,-3788.17
139,69.61,-3740.33,-3788.17
140,70.08,-3740.32,-3788.17
141,70.55,-3740.34,-3788.17
142,71.09,-3740.32,-3788.17
143,71.57,-3740.31,-3788.17
144,72.04,-3740.33,-3788.17
145,72.59,-3740.31,-3788.17
146,73.05,-3740.33,-3788.17
147,73.60,-3740.34,-3788.17
148,74.07,-3740.32,-3788.17
149,74.54,-3740.33,-3788.17
150,75.08,-3740.28,-3788.17
151,75.54,-3740.36,-3788.17
152,76.07,-3740.31,-3788.17
153,76.55,-3740.33,-3788.17
154,77.09,-3740.31,-3788.17
155,77.57,-3740.31,-3788.17
156,78.04,-3740.32,-3788.17
157,78.58,-3740.33,-3788.17
158,79.05,-3740.33,-3788.17
159,79.60,-3740.31,-3788.17
160,80.06,-3740.32,-3788.17
161,80.61,-3740.34,-3788.17
162,81.07,-3740.36,-3788.17
163,81.55,-3740.31,-3788.17
164,82.08,-3740.31,-3788.17
165,82.55,-3740.33,-3788.17
166,83.09,-3740.31,-3788.17
167,83.57,-3740.31,-3788.17
168,84.04,-3740.31,-3788.17
169,84.59,-3740.36,-3788.17
170,85.06,-3740.33,-3788.17
171,85.61,-3740.32,-3788.17
172,86.08,-3740.34,-3788.17
173,86.56,-3740.31,-3788.17
174,87.11,-3740.31,-3788.17
175,87.58,-3740.31,-3788.17
176,88.05,-3740.33,-3788.17
177,88.60,-3740.31,-3788.17
178,89.07,-3740.31,-3788.17
179,89.55,-3740.37,-3788.17
180,90.10,-3740.32,-3788.17
181,90.56,-3740.32,-3788.17
182,91.04,-3740.31,-3788.17
183,91.60,-3740.31,-3788.17
184,92.06,-3740.32,-3788.17
185,92.54,-3740.36,-3788.17
186,93.10,-3740.27,-3788.17
187,93.57,-3740.37,-3788.17
188,94.11,-3740.36,-3788.17
189,94.59,-3740.31,-3788.17
190,95.06,-3740.36,-3788.17
191,95.55,-3740.32,-3788.17
192,96.09,-3740.31,-3788.17
193,96.57,-3740.31,-3788.17
