Sample,Timestamp,Measured Motor Steps,Target Motor Steps
0,0.05,-3740.34,-3836.17
1,4.06,-3740.34,-3836.17
2,8.07,-3740.32,-3836.17
3,12.09,-3740.33,-3836.17
4,16.09,-3740.32,-3836.17
5,20.05,-3740.34,-3836.17
6,24.04,-3740.31,-3836.17
7,28.06,-3740.32,-3836.17
8,32.08,-3740.34,-3836.17
9,36.11,-3740.34,-3836.17
10,40.04,-3740.31,-3836.17
11,44.04,-3740.33,-3836.17
12,48.07,-3740.36,-3836.17
13,52.07,-3740.36,-3836.17
14,56.09,-3740.32,-3836.17
15,60.09,-3740.37,-3836.17
16,64.06,-3740.34,-3836.17
17,68.10,-3740.31,-3836.17
18,72.06,-3740.33,-3836.17
19,76.09,-3740.36,-3836.17
20,80.07,-3740.34,-3836.17
21,84.05,-3740.34,-3836.17
22,88.10,-3740.31,-3836.17
23,92.06,-3740.32,-3836.17
24,96.04,-3740.28,-3836.17
25,100.07,-3740.31,-3836.17
26,104.11,-3740.33,-3836.18
27,108.04,-3740.34,-3836.23
28,112.04,-3740.32,-3836.34
29,116.10,-3740.34,-3836.49
30,120.04,-3740.31,-3836.69
31,124.04,-3740.28,-3836.95
32,128.11,-3740.34,-3837.25
33,132.12,-3740.39,-3837.61
34,136.11,-3740.36,-3838.01
35,140.11,-3740.34,-3838.47
36,144.05,-3740.33,-3838.96
37,148.12,-3740.32,-3839.52
38,152.11,-3740.31,-3840.13
39,156.11,-3740.34,-3840.78
40,160.08,-3740.34,-3841.48
41,164.08,-3740.37,-3842.23
42,168.08,-3740.31,-3843.04
43,172.05,-3740.31,-3843.88
44,176.05,-3740.38,-3844.76
45,180.05,-3740.34,-3845.60
46,184.06,-3740.34,-3846.39
47,188.07,-3740.33,-3847.12
48,192.07,-3740.36,-3847.81
49,196.08,-3740.34,-3848.45
50,200.09,-3740.32,-3849.03
51,204.08,-3740.31,-3849.57
52,208.08,-3740.32,-3850.05
53,212.10,-3740.34,-3850.49
54,216.04,-3740.31,-3850.87
55,220.05,-3740.33,-3851.21
56,224.11,-3740.32,-3851.50
57,228.11,-3740.32,-3851.73
58,232.04,-3740.36,-3851.91
59,236.06,-3740.32,-3852.05
60,240.06,-3740.34,-3852.14
61,244.07,-3740.33,-3852.17
62,248.05,-3740.31,-3852.17
63,252.05,-3740.33,-3852.17
64,256.07,-3740.36,-3852.17
65,260.07,-3740.33,-3852.17
66,264.09,-3740.31,-3852.17
67,268.07,-3740.32,-3852.17
68,272.08,-3740.36,-3852.17
69,276.09,-3740.32,-3852.17
70,280.08,-3740.34,-3852.17
71,284.11,-3740.31,-3852.17
72,288.06,-3740.28,-3852.17
73,292.06,-3740.34,-3852.17
74,296.07,-3740.28,-3852.17
75,300.10,-3740.32,-3852.17
76,304.10,-3740.28,-3852.17
77,308.04,-3740.32,-3852.17
78,312.05,-3740.32,-3852.17
79,316.07,-3740.34,-3852.17
80,320.09,-3740.28,-3852.17
81,324.10,-3740.31,-3852.17
82,328.05,-3740.34,-3852.17
83,332.08,-3740.32,-3852.17
84,336.09,-3740.33,-3852.17
85,340.10,-3740.31,-3852.17
86,344.08,-3740.36,-3852.17
87,348.09,-3740.36,-3852.17
88,352.05,-3740.28,-3852.17
89,356.07,-3740.31,-3852.17
90,360.08,-3740.33,-3852.17
91,364.09,-3740.32,-3852.17
92,368.03,-3740.32,-3852.17
93,372.06,-3740.34,-3852.17
94,376.09,-3740.34,-3852.17
95,380.10,-3740.33,-3852.17
96,384.04,-3740.32,-3852.17
97,388.06,-3740.34,-3852.17
98,392.08,-3740.32,-3852.17
99,396.08,-3740.34,-3852.17
100,400.10,-3740.34,-3852.17
101,404.05,-3740.38,-3852.17
102,408.05,-3740.32,-3852.17
