Sample,X,Y,Z
0,0.125,-0.160,0.523
1,0.035,-0.211,0.957
2,0.051,-0.215,0.918
3,0.156,-0.129,0.859
4,0.008,0.016,0.977
5,-0.020,-0.137,0.969
6,-0.066,-0.238,0.801
7,-0.008,-0.172,0.922
8,0.039,-0.047,1.000
9,0.027,0.031,0.840
10,0.062,-0.117,0.855
11,0.020,-0.258,1.012
12,0.102,-0.184,0.957
13,0.152,0.004,0.883
14,-0.004,-0.078,0.977
15,-0.008,-0.219,1.059
16,0.070,-0.070,0.980
17,0.047,0.023,0.965
18,0.008,-0.059,1.000
19,-0.031,-0.055,0.984
20,0.027,-0.078,0.969
21,0.070,0.023,0.969
22,-0.004,0.086,1.027
23,-0.004,-0.016,0.969
24,0.000,-0.102,0.973
25,0.023,-0.031,1.105
26,0.055,0.062,0.977
27,0.016,0.023,0.918
28,0.051,-0.051,0.984
29,0.066,-0.109,0.984
30,0.113,0.023,0.922
31,0.047,0.133,0.973
32,0.012,0.090,1.012
33,-0.008,-0.059,1.000
34,-0.004,-0.039,1.016
35,-0.020,0.004,0.988
36,-0.004,0.020,1.008
37,-0.020,0.004,1.012
38,0.043,0.000,0.996
39,0.090,-0.070,0.996
40,0.059,-0.004,0.957
41,0.133,-0.074,0.984
42,0.039,-0.086,0.949
43,0.066,-0.109,0.992
44,0.008,-0.051,0.984
45,-0.051,0.039,0.961
46,-0.020,-0.043,1.027
47,-0.098,-0.145,0.969
48,0.031,-0.129,0.879
49,0.113,-0.059,0.984
50,0.066,-0.098,0.992
51,0.090,-0.180,0.863
52,0.086,-0.129,0.914
53,0.062,-0.082,0.922
54,0.047,-0.070,0.906
55,-0.023,-0.121,0.902
56,-0.039,-0.137,0.883
57,0.047,-0.160,1.000
58,0.059,0.020,0.953
59,0.027,-0.020,0.871
60,0.008,-0.168,0.953
61,0.016,-0.125,0.941
62,0.074,-0.133,0.918
63,0.027,0.000,0.902
64,0.012,-0.008,1.000
65,0.043,-0.117,0.941
66,0.090,-0.102,0.906
67,0.035,-0.113,1.039
68,0.004,-0.035,0.973
69,0.016,0.000,0.910
70,0.051,0.039,1.066
71,-0.008,-0.125,1.008
72,-0.020,-0.109,0.945
73,0.023,0.000,1.012
74,0.000,0.043,1.043
75,0.086,-0.031,0.938
76,0.070,-0.047,0.949
77,0.031,-0.047,1.043
78,0.043,-0.113,1.023
79,0.039,0.082,0.918
80,0.066,0.090,0.969
81,0.012,-0.082,1.055
82,-0.090,-0.070,0.965
83,0.051,0.055,0.953
84,0.047,0.051,1.039
85,0.035,-0.031,1.039
86,0.012,-0.062,0.949
87,0.023,0.031,0.930
88,0.086,-0.035,1.004
89,-0.008,-0.105,1.004
90,0.016,-0.086,0.887
91,0.066,0.102,0.930
92,0.031,-0.023,1.102
93,-0.012,-0.203,0.914
94,0.047,-0.098,0.902
95,0.047,-0.016,1.027
96,0.016,-0.082,0.980
97,0.027,-0.117,0.902
98,0.008,-0.090,0.934
99,0.090,-0.086,0.973
100,0.047,-0.160,0.938
101,0.004,-0.098,0.934
102,0.102,-0.055,0.906
103,0.062,-0.117,0.969
104,0.008,-0.148,0.988
105,-0.004,-0.125,0.930
106,0.020,-0.020,0.891
107,0.086,-0.027,0.934
108,-0.012,-0.199,1.004
109,-0.012,-0.207,0.879
110,0.047,0.000,0.859
111,0.102,0.082,1.039
112,0.051,-0.137,0.957
113,-0.031,-0.242,0.895
114,0.012,-0.113,0.957
115,0.098,0.145,1.000
116,0.098,-0.027,0.949
117,-0.059,-0.281,0.926
118,-0.004,-0.102,1.020
119,0.090,0.117,1.016
120,0.047,0.105,0.871
121,0.000,-0.207,0.957
122,-0.051,-0.297,1.113
123,0.039,0.031,0.949
124,0.176,0.199,0.926
125,0.000,-0.004,1.070
126,-0.051,-0.250,1.039
127,0.035,-0.148,0.898
128,0.121,0.184,0.934
129,0.105,0.059,1.066
130,-0.070,-0.184,0.984
131,0.012,-0.129,0.934
132,0.086,0.051,1.039
133,0.051,0.152,1.031
134,-0.020,-0.062,0.934
135,-0.070,-0.227,0.930
136,0.051,-0.070,1.008
137,0.109,0.145,1.035
138,-0.012,0.074,0.930
139,0.027,-0.148,0.898
140,0.004,-0.219,1.008
