Sample,X,Y,Z
0,-0.105,-0.055,0.438
1,0.023,-0.074,1.098
2,0.152,-0.059,0.961
3,-0.023,-0.039,0.961
4,0.160,-0.164,1.016
5,0.020,0.016,0.922
6,-0.055,0.043,0.938
7,0.098,-0.137,0.957
8,-0.160,-0.156,0.883
9,0.160,-0.129,1.117
10,0.102,0.176,0.891
11,-0.020,-0.152,0.945
12,0.082,-0.043,1.043
13,-0.059,-0.090,0.922
14,0.082,-0.027,0.902
15,0.023,-0.031,0.992
16,0.023,-0.113,1.074
17,0.066,-0.043,0.816
18,-0.062,0.035,1.008
19,0.074,-0.227,1.059
20,0.012,0.016,0.762
21,0.160,-0.086,1.090
22,-0.039,0.031,0.961
23,-0.027,-0.137,0.895
24,0.219,-0.098,1.051
25,-0.082,0.031,0.820
26,0.074,-0.207,1.168
27,-0.062,0.051,0.797
28,-0.016,-0.023,1.051
29,0.109,-0.270,1.047
30,0.000,0.051,0.848
31,0.070,-0.008,1.008
32,0.062,-0.074,0.977
33,0.008,-0.121,0.895
34,0.141,-0.094,1.043
35,0.031,0.023,0.984
36,-0.020,-0.078,0.895
37,0.047,-0.031,0.992
38,-0.090,-0.180,0.902
39,0.086,0.008,1.086
40,-0.070,-0.031,0.867
41,0.023,0.074,0.961
42,0.199,-0.148,1.035
43,-0.012,-0.168,0.961
44,0.121,-0.039,0.926
45,-0.027,0.051,0.914
46,0.008,-0.117,1.027
47,0.078,-0.109,0.910
48,-0.055,-0.027,1.012
49,0.082,-0.070,1.055
50,0.023,0.043,0.809
51,0.098,-0.176,1.121
52,-0.055,-0.023,0.883
53,-0.043,-0.055,0.914
54,0.051,-0.008,1.008
55,0.004,0.148,0.957
56,0.055,-0.281,0.996
57,0.102,-0.066,0.941
58,0.016,0.016,1.004
59,0.102,-0.176,0.953
60,-0.047,0.020,0.863
61,-0.012,-0.098,1.023
62,0.109,0.090,0.926
63,-0.012,-0.184,0.930
64,0.078,-0.105,1.152
65,0.035,-0.012,0.855
66,0.016,-0.012,0.914
67,0.035,-0.121,1.047
68,-0.121,-0.023,0.977
69,0.059,-0.027,0.914
70,0.066,0.047,0.938
71,0.047,-0.215,1.035
72,0.090,-0.086,0.969
73,0.074,-0.027,0.934
74,0.074,-0.078,0.984
75,-0.043,-0.043,0.879
76,-0.031,0.012,1.082
77,0.008,-0.035,0.906
78,-0.012,-0.102,0.945
79,0.078,-0.125,1.047
80,0.074,0.082,0.980
81,0.086,-0.141,0.875
82,0.000,-0.012,0.984
83,0.004,-0.215,0.965
84,0.051,0.016,0.961
85,0.094,0.078,0.957
86,-0.188,-0.215,0.910
87,0.195,-0.105,1.098
88,-0.047,0.004,0.836
89,0.059,0.098,0.965
90,0.199,-0.184,1.051
91,-0.191,-0.020,0.773
92,0.215,-0.164,1.113
93,-0.117,0.070,0.703
94,0.051,0.137,1.027
95,0.082,-0.133,0.875
96,-0.070,0.125,0.883
97,0.277,-0.152,1.020
98,-0.086,0.191,0.828
99,0.184,-0.016,0.977
100,0.004,0.156,0.879
101,-0.070,0.113,0.930
102,0.082,0.270,0.840
103,0.043,0.316,0.930
104,-0.016,0.062,0.980
105,0.168,0.398,0.949
106,0.016,0.328,1.051
107,0.176,0.348,0.945
108,-0.012,0.277,1.004
109,-0.094,0.297,1.055
110,0.070,0.547,1.012
111,0.078,0.336,0.977
112,-0.059,0.445,1.117
113,0.105,0.332,1.168
114,-0.055,0.301,0.887
115,0.125,0.629,1.180
116,0.145,0.180,1.301
117,-0.027,0.398,0.773
118,0.215,0.406,1.254
119,-0.105,0.484,1.047
120,0.094,0.230,0.875
121,0.199,0.125,1.051
122,-0.055,0.559,1.074
123,0.090,0.125,1.152
124,0.234,0.246,0.949
125,-0.145,0.238,0.914
126,0.211,0.250,1.418
127,-0.051,0.250,0.766
128,0.008,0.219,0.906
129,0.062,-0.105,1.277
130,-0.105,0.418,0.859
131,0.305,-0.008,1.020
132,-0.152,-0.172,0.902
133,0.191,-0.070,1.176
134,0.074,0.238,0.668
135,-0.113,0.262,0.781
136,0.043,-0.230,0.891
137,-0.160,0.066,0.828
138,0.270,-0.164,0.961
139,-0.074,0.156,0.836
140,-0.066,-0.156,1.035
141,0.023,-0.070,0.684
142,0.086,0.145,0.984
143,-0.047,-0.281,0.855
144,0.066,0.086,0.781
145,0.062,-0.258,1.000
146,0.098,-0.059,1.004
147,0.070,-0.098,0.922
148,0.012,0.051,0.906
149,0.043,-0.016,1.047
150,-0.031,0.047,1.008
151,0.074,0.074,0.859
152,-0.098,-0.012,0.762
153,0.172,-0.098,1.355
154,-0.066,0.094,0.793
155,0.180,0.137,0.980
156,-0.027,0.121,0.895
157,0.059,0.258,0.934
158,0.133,-0.070,0.973
159,0.004,0.320,0.926
160,0.230,0.020,1.078
161,-0.203,0.285,0.738
162,0.164,0.395,1.352
163,-0.203,0.223,0.762
164,0.109,0.363,0.934
165,0.176,0.000,1.141
166,-0.051,0.586,0.965
167,0.375,-0.020,1.184
168,-0.129,0.191,0.660
169,0.172,0.391,1.379
170,-0.188,0.438,1.020
171,0.059,0.715,0.793
172,-0.051,-0.234,1.012
173,0.090,0.285,1.262
174,0.340,0.309,1.129
175,0.145,0.684,0.660
176,0.023,-0.055,1.219
177,-0.191,-0.035,0.906
178,0.199,0.539,1.164
179,-0.156,0.266,0.809
180,-0.047,0.309,1.082
181,0.160,-0.172,1.164
182,0.016,0.449,0.801
183,0.273,0.293,1.227
184,-0.043,0.000,0.805
185,0.004,0.156,0.984
186,0.133,-0.074,1.172
187,-0.004,0.551,0.801
188,0.008,0.082,0.902
189,-0.273,-0.180,0.957
190,0.027,0.113,1.090
191,0.180,0.137,0.742
192,0.121,0.508,0.910
193,0.082,-0.254,1.082
