Sample,X,Y,Z
0,0.000,-0.086,0.480
1,-0.008,-0.270,1.000
2,-0.062,-0.047,0.961
3,-0.078,-0.039,0.953
4,-0.043,-0.137,1.035
5,-0.012,-0.074,1.062
6,-0.004,-0.016,1.027
7,0.012,-0.062,0.980
8,0.027,-0.141,1.004
9,0.027,-0.059,0.977
10,0.027,-0.039,0.914
11,0.016,-0.074,0.883
12,0.094,0.000,0.938
13,0.062,-0.016,0.926
14,0.047,-0.066,0.863
15,0.008,-0.023,0.914
16,-0.047,0.137,0.926
17,-0.020,0.055,0.996
18,-0.082,0.051,0.918
19,0.016,-0.078,1.055
20,0.062,0.055,1.020
21,0.117,0.129,0.992
22,0.117,0.020,1.012
23,0.039,0.008,1.012
24,0.004,-0.016,1.023
25,-0.020,0.094,0.984
26,0.004,0.070,1.000
27,-0.047,0.090,0.984
28,-0.012,0.109,0.957
29,0.039,0.016,0.953
30,-0.062,-0.027,0.891
31,0.051,-0.109,0.980
32,0.066,0.184,0.824
33,0.113,-0.016,0.879
34,0.090,-0.184,0.957
35,-0.027,-0.180,0.902
36,0.008,-0.055,1.016
37,-0.039,0.047,0.992
38,-0.051,-0.176,1.062
39,-0.020,-0.016,1.027
40,0.008,0.008,1.004
41,0.004,-0.156,0.973
42,-0.004,-0.148,0.973
43,0.016,-0.160,1.059
44,0.094,-0.008,0.934
45,0.047,-0.148,0.906
46,0.051,-0.309,0.984
47,0.020,-0.082,0.914
48,-0.016,0.070,0.844
49,0.004,-0.027,0.938
50,-0.020,-0.129,0.918
51,-0.059,-0.016,0.820
52,-0.020,-0.086,0.934
53,0.000,-0.066,0.863
54,0.070,-0.152,0.961
55,0.027,-0.094,0.906
56,0.078,-0.059,0.949
57,0.012,-0.043,0.953
58,0.035,-0.098,1.020
59,-0.020,-0.031,0.980
60,0.000,0.031,0.992
61,-0.051,0.035,1.004
62,0.000,-0.020,1.027
63,0.004,0.031,0.949
64,0.047,-0.055,0.965
65,0.039,-0.023,0.941
66,0.043,-0.023,0.930
67,0.012,-0.004,0.949
68,0.043,-0.020,0.969
69,-0.008,0.051,0.953
70,-0.016,0.051,0.949
71,0.055,0.039,0.996
72,0.000,0.012,0.914
73,0.020,-0.055,0.996
74,0.023,0.121,1.008
75,0.031,0.016,0.980
76,-0.039,-0.074,0.957
77,0.016,-0.090,1.039
78,0.016,0.023,0.977
79,0.000,0.090,0.930
80,0.055,-0.051,1.031
81,0.004,-0.047,0.957
82,0.004,-0.016,0.926
83,0.016,-0.070,0.973
84,0.004,-0.074,0.934
85,0.008,-0.098,0.965
86,-0.020,-0.035,0.895
87,0.000,-0.133,0.977
88,0.012,0.000,0.914
