RepRapFirmware height map file v2 generated at 2024-10-08 07:42, min error -0.086, max error 0.165, mean 0.020, deviation 0.066
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,0.00,200.00,0.00,185.00,-1.00,49.99,46.25,5,5
 -0.053, -0.073, -0.066, -0.062, -0.086
 -0.031, -0.004, -0.010, -0.032, -0.040
  0.014,  0.023,  0.044,  0.028,  0.067
  0.055,  0.000,  0.031,  0.064,  0.053
  0.099,  0.039,  0.131,  0.131,  0.165
