RepRapFirmware height map file v2 generated at 2025-04-16 09:38, min error -0.345, max error 0.079, mean -0.175, deviation 0.087
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,0.00,1080.00,26.00,580.00,-1.00,56.84,61.55,20,10
 -0.211, -0.118, -0.145, -0.082, -0.058, -0.050, -0.000, -0.010,  0.010,  0.023,  0.079,  0.012,  0.002,  0.034,  0.043,  0.007,      0,  0.011,  0.037,  0.058
 -0.254, -0.174, -0.188, -0.133, -0.128, -0.107, -0.068, -0.070, -0.064, -0.051, -0.035, -0.060, -0.068, -0.045, -0.049, -0.064,  0.014, -0.059, -0.017,  0.050
 -0.289, -0.227, -0.230, -0.186, -0.174, -0.157, -0.134, -0.136, -0.130, -0.117, -0.111, -0.122, -0.127, -0.114, -0.119, -0.124, -0.096, -0.113, -0.079, -0.002
 -0.300, -0.253, -0.247, -0.204, -0.206, -0.203, -0.165, -0.176, -0.172, -0.160, -0.153, -0.162, -0.166, -0.165, -0.170, -0.177, -0.152, -0.167, -0.121, -0.031
 -0.332, -0.293, -0.285, -0.235, -0.249, -0.240, -0.210, -0.222, -0.172, -0.156, -0.203, -0.218, -0.214, -0.214, -0.229, -0.242, -0.219, -0.231, -0.130, -0.086
 -0.344, -0.297, -0.282, -0.259, -0.272, -0.257, -0.165, -0.225, -0.224, -0.224, -0.218, -0.226, -0.229, -0.227, -0.246, -0.261, -0.238, -0.242, -0.153, -0.083
 -0.345, -0.275, -0.258, -0.261, -0.259, -0.249, -0.217, -0.227, -0.223, -0.215, -0.213, -0.212, -0.222, -0.237, -0.260, -0.277, -0.272, -0.266, -0.240, -0.209
 -0.319, -0.241, -0.241, -0.251, -0.248, -0.241, -0.209, -0.220, -0.202, -0.208, -0.209, -0.222, -0.235, -0.239, -0.267, -0.284, -0.284, -0.282, -0.257, -0.240
 -0.285, -0.213, -0.222, -0.206, -0.199, -0.203, -0.179, -0.189, -0.174, -0.162, -0.166, -0.194, -0.213, -0.210, -0.232, -0.248, -0.246, -0.235, -0.214, -0.199
 -0.237, -0.217, -0.170, -0.140, -0.169, -0.167, -0.132, -0.144, -0.126, -0.110, -0.122, -0.146, -0.166, -0.170, -0.193, -0.219, -0.223, -0.214, -0.208, -0.212
