Sample,X,Y,Z
0,0.035,-0.051,0.621
1,0.004,-0.023,0.992
2,-0.023,-0.039,0.969
3,-0.004,-0.086,0.965
4,-0.004,-0.020,0.957
5,0.020,-0.062,1.031
6,0.008,0.004,0.902
7,-0.008,0.004,0.977
8,0.074,-0.035,1.016
9,-0.004,0.012,0.867
10,0.012,-0.152,1.035
11,0.016,-0.043,1.000
12,0.039,0.004,0.988
13,0.059,-0.078,1.016
14,0.004,-0.062,0.934
15,-0.004,-0.008,1.000
16,-0.043,-0.027,0.961
17,-0.043,-0.031,0.961
18,-0.023,-0.035,0.988
19,-0.023,-0.020,0.973
20,0.020,0.031,0.957
21,0.012,-0.027,0.965
22,0.070,-0.121,0.969
23,0.039,-0.004,0.934
24,0.062,-0.008,1.016
25,0.039,-0.062,0.996
26,0.004,-0.082,0.914
27,0.023,-0.098,1.016
28,0.012,-0.012,0.969
29,-0.027,0.012,0.961
30,-0.039,-0.023,1.004
31,-0.020,0.023,0.980
32,-0.023,-0.027,0.973
33,-0.004,-0.094,1.000
34,0.062,-0.047,0.941
35,0.035,0.000,0.996
36,0.051,-0.043,1.000
37,0.008,-0.078,0.926
38,-0.012,-0.059,0.992
39,0.035,-0.090,0.984
40,0.012,0.059,0.930
41,0.066,0.016,1.004
42,0.023,-0.043,0.941
43,-0.043,-0.047,0.957
44,-0.062,-0.082,0.988
45,-0.043,-0.062,0.992
46,-0.012,-0.031,0.996
47,-0.004,0.008,0.965
48,0.016,0.047,0.980
49,0.055,-0.055,0.977
50,0.027,-0.074,0.938
51,0.086,-0.109,1.008
52,0.035,-0.059,1.012
53,0.031,-0.023,0.965
54,-0.004,-0.039,0.945
55,-0.023,-0.035,0.953
56,-0.070,-0.035,0.957
57,-0.035,-0.027,1.008
58,0.031,0.023,1.004
59,0.062,0.004,0.984
60,0.066,-0.102,0.961
61,-0.027,-0.043,0.934
62,0.004,-0.082,1.020
63,0.004,-0.047,0.969
64,0.008,-0.035,0.953
65,0.016,-0.047,0.973
66,0.000,0.043,0.945
67,-0.004,-0.020,0.961
68,0.020,-0.117,0.992
69,0.023,-0.004,0.992
70,0.062,-0.020,1.012
71,-0.004,-0.020,0.934
72,-0.012,-0.016,0.973
73,-0.004,-0.012,0.973
74,-0.059,0.020,0.934
75,-0.047,-0.125,1.016
76,0.008,-0.047,0.938
77,0.074,0.008,0.977
78,0.086,-0.023,0.977
79,0.055,-0.066,0.965
80,0.012,-0.035,1.031
81,0.008,-0.059,0.980
82,-0.023,-0.016,0.949
83,0.062,-0.008,1.035
84,0.152,-0.016,0.918
85,0.078,-0.047,0.902
86,0.070,-0.199,1.086
87,-0.016,-0.023,0.949
88,-0.125,-0.066,1.000
89,-0.199,-0.148,1.000
90,-0.203,0.039,0.902
91,-0.133,0.168,0.953
92,-0.020,0.086,0.969
93,0.066,-0.012,0.930
94,0.109,-0.062,0.965
95,0.117,-0.145,1.008
96,0.098,-0.156,0.926
97,0.113,-0.156,0.957
98,0.121,-0.035,0.996
99,0.055,-0.008,0.996
100,-0.023,-0.016,0.996
101,-0.035,-0.004,1.004
102,-0.027,-0.008,1.004
103,-0.090,-0.027,0.977
104,-0.074,-0.074,1.020
105,-0.012,-0.062,0.988
106,0.070,-0.016,0.980
107,0.172,-0.027,0.980
108,0.176,0.008,0.914
109,0.223,-0.074,0.973
110,0.180,-0.074,0.918
111,0.160,-0.137,1.004
112,0.102,-0.164,1.016
113,0.102,0.000,0.973
114,0.113,0.031,0.984
115,-0.016,0.008,0.957
116,-0.055,0.008,0.965
117,-0.105,0.062,0.910
118,-0.086,-0.074,1.012
119,-0.051,-0.047,0.961
120,0.043,0.020,0.965
121,0.133,-0.027,1.027
122,0.191,-0.051,0.945
123,0.199,-0.078,0.965
124,0.266,-0.035,1.000
125,0.234,-0.012,0.938
126,0.199,-0.074,0.934
127,0.176,-0.051,0.996
128,0.188,-0.012,0.961
129,0.246,-0.090,0.973
130,0.242,-0.031,0.953
131,0.262,0.016,0.996
132,0.191,-0.035,0.941
133,0.121,-0.059,0.973
134,0.066,-0.141,1.016
135,0.000,-0.086,1.035
136,-0.051,-0.062,1.035
137,-0.027,0.008,1.012
138,0.062,0.020,1.008
139,0.000,0.051,0.914
140,0.039,-0.090,0.980
141,0.016,-0.016,0.930
142,0.121,-0.020,0.969
143,0.090,-0.047,0.914
144,-0.094,-0.098,0.961
145,-0.137,-0.098,0.984
146,-0.141,0.059,0.910
147,0.066,-0.016,1.012
148,0.156,0.145,0.926
149,0.297,0.031,0.957
150,0.383,0.000,0.988
151,0.363,-0.215,0.969
152,0.277,-0.219,1.004
153,0.234,-0.160,1.031
154,0.148,-0.023,1.008
155,0.133,0.000,1.012
156,0.137,0.043,0.980
157,0.098,0.043,0.984
158,0.074,-0.074,1.070
159,-0.055,-0.082,1.000
160,-0.059,-0.105,1.082
