Sample,X,Y,Z
210,0.000,-0.113,0.949
211,0.016,-0.035,0.941
212,-0.035,0.051,0.859
213,0.031,-0.059,1.012
214,0.012,-0.055,0.945
215,0.012,-0.023,0.895
216,-0.012,0.000,0.957
217,-0.039,-0.016,0.945
218,0.020,-0.078,0.965
219,0.031,0.047,0.973
220,0.066,-0.090,0.977
221,0.047,-0.027,0.961
222,0.023,-0.098,0.941
223,0.031,-0.113,0.992
224,-0.008,-0.004,0.996
225,-0.020,0.047,0.934
226,-0.027,-0.074,1.000
227,0.031,-0.121,1.027
228,0.004,0.035,0.910
229,0.035,-0.047,1.039
230,0.016,-0.012,0.945
231,0.066,-0.129,1.020
232,-0.004,-0.051,0.934
233,0.027,-0.062,0.949
234,0.008,0.000,0.926
235,-0.031,-0.039,0.961
236,-0.004,-0.082,0.965
237,-0.016,0.078,0.910
238,-0.023,0.023,0.945
239,0.016,-0.051,0.992
240,0.023,-0.105,0.926
241,0.094,-0.031,0.918
242,0.047,-0.012,0.980
243,0.055,-0.004,0.965
244,0.008,-0.035,0.910
245,-0.023,-0.121,0.969
246,-0.008,-0.031,0.977
247,-0.020,0.082,0.914
248,-0.016,-0.039,0.965
249,0.070,-0.090,1.031
250,0.020,-0.027,0.938
251,0.008,-0.047,0.922
252,0.062,-0.094,0.984
253,-0.004,-0.098,0.961
254,0.027,-0.082,1.000
255,-0.004,-0.012,0.941
256,0.031,0.043,0.941
257,0.004,-0.047,1.000
258,-0.023,0.016,0.914
259,0.020,-0.086,0.957
260,-0.031,0.043,0.902
261,0.039,-0.145,1.020
262,0.023,0.000,0.930
263,0.035,0.004,0.934
264,0.070,-0.109,0.996
265,0.004,-0.027,0.922
266,0.008,-0.043,0.949
267,0.016,0.031,0.961
268,-0.008,-0.027,0.965
269,-0.012,-0.004,0.980
270,-0.008,-0.047,0.980
271,0.012,-0.074,0.969
272,0.027,-0.094,1.008
273,0.035,-0.004,0.949
274,0.055,-0.012,0.984
275,-0.004,-0.109,0.965
276,-0.012,-0.098,0.941
277,-0.008,0.008,0.984
278,-0.020,0.027,0.965
279,0.004,-0.051,0.996
280,0.008,0.008,0.922
281,0.020,-0.141,0.973
282,0.031,-0.074,0.926
283,0.027,0.008,0.910
284,0.027,0.008,0.957
285,0.008,-0.043,0.957
286,0.004,-0.074,0.930
287,-0.016,0.000,0.918
288,-0.004,-0.020,0.949
289,0.062,0.016,0.922
290,0.023,-0.016,0.957
291,0.043,-0.020,0.961
292,0.059,-0.078,0.957
293,-0.016,-0.055,0.918
294,0.004,-0.051,0.992
295,-0.012,-0.047,1.000
296,-0.016,-0.062,0.953
297,-0.008,-0.008,0.965
298,0.008,-0.008,0.992
299,0.016,0.035,0.945
300,0.027,-0.078,1.004
301,0.023,-0.090,0.945
302,0.055,-0.074,0.988
303,0.008,-0.008,0.949
304,0.051,-0.105,0.996
305,0.016,-0.062,0.957
306,-0.004,0.004,0.930
307,-0.027,-0.043,0.969
308,-0.020,0.035,0.941
309,-0.031,-0.004,0.949
310,-0.004,-0.020,0.996
311,0.023,-0.062,0.961
312,0.043,-0.016,0.910
313,0.055,-0.051,0.945
314,0.055,-0.039,0.973
315,0.043,-0.102,0.953
316,-0.035,0.004,0.867
317,-0.023,-0.020,0.977
318,0.000,0.004,1.004
319,-0.008,0.020,0.914
320,0.012,-0.023,0.980
321,-0.004,-0.090,0.977
322,0.020,-0.051,0.922
323,0.047,-0.094,0.980
324,0.004,-0.023,0.984
325,0.039,-0.039,0.973
326,0.000,-0.008,0.910
327,0.043,-0.148,1.012
328,0.016,0.016,0.945
329,-0.012,0.012,0.922
330,0.016,-0.039,0.988
331,-0.012,-0.035,0.965
332,0.000,-0.035,0.910
333,-0.008,-0.047,0.961
334,0.031,-0.039,0.957
335,0.059,-0.043,0.965
336,0.027,-0.016,0.945
337,0.012,0.020,0.961
338,-0.020,0.004,0.965
339,-0.047,-0.020,0.906
340,0.008,-0.094,0.996
341,-0.035,0.055,0.938
342,0.012,-0.035,0.965
343,0.020,-0.090,1.000
344,0.016,-0.082,0.984
345,0.020,-0.008,0.918
346,-0.004,-0.023,0.961
347,0.035,-0.086,1.012
348,0.020,-0.023,0.969
349,0.016,-0.027,0.938
350,0.016,-0.062,0.988
351,0.016,-0.062,0.988
352,0.012,-0.035,0.973
353,0.004,-0.066,0.961
354,-0.020,-0.043,0.969
355,-0.016,0.012,0.957
356,0.023,0.012,0.945
357,0.035,-0.074,0.992
