Sample,X,Y,Z
212,0.316,-0.086,1.000
213,0.227,0.023,0.922
214,0.207,-0.074,1.125
215,0.172,-0.262,0.988
216,-0.027,-0.105,0.855
217,-0.059,0.047,1.074
218,-0.027,-0.039,1.059
219,-0.098,0.133,0.895
220,0.113,0.078,1.090
221,0.152,0.027,0.918
222,0.047,-0.023,0.941
223,0.234,-0.230,1.012
224,0.184,-0.012,0.871
225,0.305,-0.125,1.133
226,0.207,-0.133,0.859
227,0.102,0.051,0.949
228,0.234,-0.152,1.133
229,-0.023,-0.008,0.789
230,0.102,0.039,1.137
231,-0.020,-0.043,0.969
232,-0.031,0.051,0.914
233,0.219,0.012,1.035
234,0.039,-0.020,0.871
235,0.156,-0.238,1.113
236,0.012,-0.035,0.891
237,0.125,-0.074,1.078
238,0.277,-0.074,1.027
239,0.207,-0.031,0.820
240,0.262,-0.016,1.078
241,0.129,-0.137,0.957
242,0.156,0.004,0.906
243,0.094,-0.027,1.012
244,-0.082,-0.148,0.898
245,-0.121,0.059,0.891
246,0.047,-0.043,1.012
247,0.070,0.113,0.922
248,0.191,-0.094,1.043
249,0.152,-0.109,0.887
250,0.156,0.004,1.016
251,0.211,-0.195,0.984
252,0.125,-0.098,0.848
253,0.020,-0.047,1.125
254,0.090,-0.023,1.004
255,0.051,0.148,0.949
256,0.152,0.016,1.051
257,0.062,-0.160,0.926
258,0.035,-0.070,0.977
259,0.164,0.031,0.992
260,0.238,-0.105,0.980
261,0.152,-0.098,1.023
262,0.227,-0.117,1.051
263,0.176,0.160,0.984
264,0.164,-0.137,1.027
265,0.055,-0.055,0.906
266,0.098,-0.020,0.961
267,0.031,0.102,1.004
268,0.051,-0.082,0.984
269,0.098,-0.109,1.008
270,0.008,0.102,0.941
271,0.023,-0.086,0.988
272,0.039,-0.016,0.836
273,0.098,-0.035,0.934
274,0.156,-0.051,0.945
275,0.098,-0.168,0.992
276,0.148,-0.012,1.090
277,0.207,0.047,1.043
278,0.191,-0.113,0.934
279,0.188,-0.078,0.895
280,0.219,0.020,0.965
281,0.117,0.082,0.957
282,0.031,-0.168,0.984
283,0.148,-0.156,0.992
284,0.020,0.109,0.996
285,0.070,-0.086,1.059
286,0.102,-0.016,0.832
287,0.141,-0.066,0.973
288,0.180,0.043,1.051
289,-0.039,-0.062,0.910
290,0.105,-0.051,1.086
291,0.156,-0.098,0.988
292,0.078,-0.047,0.930
293,0.262,0.000,0.953
294,0.078,0.039,0.840
295,0.141,-0.203,1.109
296,0.125,-0.031,0.914
297,0.094,-0.023,1.051
298,0.012,0.012,1.141
299,0.047,-0.133,0.855
300,0.172,0.113,0.918
301,0.207,-0.016,1.055
302,0.078,-0.121,0.965
303,0.117,0.031,0.957
304,0.168,-0.074,1.027
305,0.156,-0.160,0.930
306,0.102,-0.066,0.824
307,0.121,0.074,1.016
308,0.137,-0.121,1.066
309,-0.008,-0.074,0.840
310,0.086,0.090,1.133
311,0.062,-0.047,0.965
312,-0.020,-0.051,0.883
313,0.117,-0.168,1.031
314,0.172,0.055,1.008
315,0.105,-0.078,1.008
316,0.160,-0.047,0.852
317,0.188,-0.066,0.965
318,-0.055,-0.047,0.926
319,0.039,-0.074,0.922
320,0.070,0.055,0.941
321,0.074,-0.031,1.094
322,0.172,-0.129,0.961
323,0.145,0.223,0.832
324,0.141,-0.172,1.156
325,0.141,-0.172,0.891
326,0.008,0.062,0.863
327,0.191,-0.121,1.223
328,0.125,-0.035,0.828
329,0.074,-0.027,1.000
330,0.285,-0.012,1.168
331,0.133,-0.023,0.789
332,0.199,-0.086,1.074
333,0.215,-0.086,0.965
334,0.043,0.023,0.918
335,0.172,-0.262,1.164
336,-0.062,0.074,0.738
337,-0.035,-0.086,1.176
338,-0.020,0.059,0.953
339,0.004,0.137,0.750
340,0.309,-0.125,1.195
341,0.094,0.059,0.824
342,0.020,-0.125,1.055
343,0.152,-0.129,1.027
344,0.035,-0.074,0.852
345,0.172,-0.207,1.117
346,0.113,0.207,0.805
347,0.121,0.004,0.977
348,0.129,-0.164,1.074
349,0.047,0.098,0.863
350,0.266,-0.027,1.078
351,0.168,-0.043,0.902
352,0.328,-0.117,0.895
353,0.219,0.016,0.922
354,-0.023,-0.117,1.008
355,0.078,-0.027,0.977
356,0.176,-0.035,0.980
357,0.023,-0.062,1.094
358,0.000,-0.086,1.012
359,0.117,0.246,0.852
360,0.191,-0.223,1.129
361,0.133,-0.148,0.910
362,-0.117,-0.133,0.977
363,-0.051,0.195,1.035
364,0.184,-0.113,0.961
365,0.004,-0.074,0.801
366,0.211,-0.098,1.082
367,-0.035,0.094,1.012
368,0.086,-0.258,1.195
369,0.145,0.094,0.785
370,0.156,-0.094,0.969
371,0.133,0.043,0.938
372,0.156,0.039,0.844
373,0.367,0.047,0.934
374,0.348,0.051,0.934
375,0.344,-0.332,0.922
376,0.137,0.059,0.918
377,-0.031,-0.277,1.191
378,0.016,-0.027,0.902
379,-0.008,-0.031,0.949
380,-0.188,0.039,1.172
381,0.074,0.141,1.055
382,0.004,0.172,0.797
383,0.238,-0.148,1.117
384,0.164,-0.109,1.012
385,0.012,-0.145,0.855
386,0.121,-0.043,1.070
387,0.234,-0.340,1.035
388,0.082,-0.129,0.910
389,0.105,0.125,1.016
390,0.016,0.168,1.020
391,0.035,-0.055,0.969
392,-0.012,-0.043,0.820
393,0.145,-0.016,1.031
394,0.098,0.062,1.043
395,0.113,-0.031,0.836
396,0.379,-0.020,0.844
397,0.352,-0.012,0.949
398,0.219,-0.176,0.941
399,0.066,0.062,0.902
400,0.047,-0.277,1.184
401,0.219,-0.035,0.949
402,0.090,0.242,0.801
403,0.242,-0.105,1.113
404,0.070,0.027,0.789
405,0.211,0.023,0.992
406,0.078,0.039,1.090
407,-0.047,-0.383,1.094
408,-0.254,0.016,0.816
409,0.203,-0.121,1.035
410,0.285,-0.070,1.129
411,-0.008,-0.070,1.109
412,0.211,0.234,0.938
413,0.258,-0.109,1.066
414,0.148,-0.297,0.949
415,-0.113,0.031,0.824
416,-0.094,0.023,1.059
417,-0.113,-0.094,0.973
418,-0.031,0.008,0.805
419,0.172,0.004,1.000
420,0.199,0.176,0.953
421,0.027,-0.047,0.879
422,0.230,-0.227,1.020
423,0.160,0.035,0.883
424,0.410,-0.129,0.984
425,0.332,0.078,0.918
426,0.113,-0.289,1.043
427,0.121,0.066,1.105
428,0.012,-0.051,0.801
429,-0.039,0.004,1.047
430,-0.219,-0.328,1.094
431,-0.172,0.199,0.926
432,0.188,0.184,1.172
433,0.195,-0.055,1.012
434,0.273,-0.039,0.922
435,0.328,-0.148,0.984
436,0.164,-0.145,0.902
437,-0.109,-0.340,1.012
438,-0.086,-0.164,0.926
439,0.000,0.254,0.855
440,0.059,-0.062,0.977
441,-0.133,0.074,0.938
442,-0.055,0.293,1.043
443,-0.004,0.113,1.004
444,-0.156,-0.176,0.926
445,-0.012,-0.199,0.867
446,-0.023,-0.027,0.914
447,0.223,-0.004,1.055
448,0.156,-0.047,0.836
449,0.262,-0.320,1.066
450,0.320,0.203,1.051
451,0.297,0.000,0.973
452,0.082,-0.160,1.062
453,0.000,-0.223,1.109
454,-0.082,0.117,1.012
455,-0.168,0.082,1.000
456,-0.223,-0.176,0.949
457,-0.125,0.051,0.902
458,-0.047,0.066,0.906
459,0.082,-0.160,1.012
460,0.086,-0.043,1.020
461,0.109,-0.172,0.973
462,0.098,-0.129,1.109
463,0.023,-0.133,0.984
464,-0.070,0.109,0.871
465,-0.113,-0.035,1.012
466,-0.168,-0.066,0.969
467,-0.145,0.152,0.914
468,-0.109,-0.043,0.922
469,-0.055,-0.090,1.031
470,-0.023,-0.016,0.875
471,0.133,0.078,0.891
472,0.156,-0.168,1.035
473,0.184,-0.051,0.953
474,0.188,0.184,0.910
475,0.141,-0.230,1.043
476,0.078,-0.242,1.062
477,0.105,0.062,0.887
478,0.023,-0.125,1.059
479,-0.113,-0.066,1.043
480,-0.055,-0.004,0.988
481,-0.062,0.246,0.922
482,-0.121,-0.098,1.051
483,-0.094,0.031,0.969
484,-0.082,0.094,0.891
485,0.082,-0.320,1.113
486,-0.004,0.008,0.934
487,0.062,-0.281,1.090
488,0.160,0.137,0.973
489,-0.008,-0.168,0.934
490,-0.047,0.016,0.992
491,-0.094,0.246,0.906
492,-0.039,-0.133,0.934
493,-0.113,0.059,0.902
494,-0.082,-0.125,0.957
495,0.105,0.098,0.969
496,0.039,-0.137,0.930
497,0.051,-0.176,0.996
498,0.117,0.176,0.930
499,0.098,-0.176,1.078
500,0.188,-0.027,1.047
501,0.176,-0.020,0.957
502,-0.008,-0.148,1.172
503,-0.215,0.023,1.012
504,-0.156,-0.086,0.918
505,0.059,0.133,0.824
506,-0.039,-0.301,0.965
507,-0.156,-0.004,0.961
508,-0.023,0.184,0.836
509,0.008,-0.277,1.027
510,-0.004,-0.199,1.105
511,-0.004,0.023,0.891
512,0.082,0.105,1.008
513,0.145,-0.266,1.086
514,0.062,-0.043,0.934
515,-0.059,0.180,0.992
516,-0.023,-0.230,1.016
517,-0.055,-0.062,0.844
518,0.062,0.098,0.867
519,0.145,-0.043,1.004
520,-0.008,-0.094,0.973
521,0.016,0.027,0.949
522,0.027,-0.012,1.020
523,-0.016,-0.164,1.043
524,0.059,0.059,0.859
525,0.090,0.102,0.934
526,0.125,-0.211,1.117
527,0.020,0.035,0.844
528,0.117,-0.109,0.961
529,0.059,-0.113,0.992
530,-0.246,-0.293,0.969
531,-0.270,0.062,0.973
532,-0.152,0.234,1.020
533,-0.141,-0.102,1.094
534,-0.047,0.027,1.031
535,0.016,0.184,1.059
536,0.105,-0.098,1.047
537,0.156,-0.207,0.891
538,0.324,-0.168,0.945
539,0.324,0.008,0.914
540,0.102,-0.215,0.984
541,0.012,-0.035,0.926
542,-0.031,-0.008,1.000
543,-0.172,0.086,0.906
544,-0.219,-0.066,0.969
545,-0.227,0.137,0.902
546,0.211,0.215,0.996
547,0.059,-0.148,1.016
548,-0.055,-0.203,1.121
549,0.055,-0.094,1.031
550,0.012,-0.004,0.848
551,0.125,-0.207,0.961
552,-0.078,-0.141,0.816
553,-0.129,0.129,0.863
554,0.043,-0.117,1.168
555,-0.086,-0.020,0.957
556,0.086,0.117,1.055
557,0.086,0.055,0.945
558,-0.004,-0.172,0.910
559,-0.102,-0.133,0.969
560,0.066,-0.035,0.988
561,-0.020,-0.027,1.020
562,0.039,-0.137,1.008
563,0.109,0.059,0.867
564,0.156,-0.184,1.000
565,0.141,0.008,0.879
566,0.113,0.098,0.941
567,0.000,-0.152,1.086
568,-0.098,-0.043,1.051
569,-0.133,0.039,1.004
570,-0.062,0.059,0.969
571,-0.227,-0.223,1.023
572,-0.156,-0.137,0.941
573,0.070,0.156,0.895
574,0.176,-0.094,0.973
575,0.172,-0.031,0.902
576,0.219,-0.055,0.977
577,0.070,-0.012,1.027
578,-0.066,-0.215,1.031
579,0.020,0.102,0.902
580,0.062,0.113,0.941
581,-0.125,-0.129,0.887
582,-0.160,-0.051,0.906
583,-0.102,0.012,0.883
584,0.223,0.160,0.918
585,0.109,-0.137,0.910
586,0.051,-0.012,1.000
587,0.082,0.082,1.141
588,-0.031,-0.188,1.105
589,-0.137,-0.020,0.961
590,-0.020,-0.148,1.020
591,-0.062,-0.012,0.941
592,0.070,-0.242,0.953
593,0.105,-0.133,1.016
594,0.043,0.012,1.141
595,0.090,0.023,1.031
596,0.215,-0.043,0.992
597,0.145,0.031,0.887
598,-0.012,-0.129,1.008
599,-0.172,-0.176,1.016
600,-0.285,-0.004,0.973
601,-0.137,0.090,1.000
602,0.090,-0.105,0.922
603,0.145,0.043,0.727
604,-0.008,0.156,0.953
605,-0.145,0.035,1.039
606,-0.070,0.113,0.785
607,-0.059,-0.098,0.883
608,-0.094,-0.246,0.973
609,-0.168,0.047,0.863
610,-0.094,-0.020,0.906
611,0.078,-0.066,1.160
612,0.117,-0.109,0.965
613,0.117,-0.004,1.035
614,0.012,-0.012,1.242
615,0.039,-0.191,1.109
616,0.156,-0.168,0.961
617,0.086,0.027,1.090
618,0.016,0.000,1.016
619,-0.207,-0.277,1.027
620,-0.039,0.035,0.949
621,0.004,-0.035,0.973
622,0.000,-0.047,0.969
623,0.113,0.184,0.816
624,0.043,-0.090,1.004
625,-0.043,-0.043,1.043
626,-0.035,0.066,0.863
627,0.000,0.117,0.949
628,0.047,-0.113,0.949
629,-0.055,-0.086,0.762
630,0.078,-0.035,1.012
631,0.000,-0.152,0.953
632,0.000,-0.078,0.992
633,0.117,0.094,0.992
634,0.012,-0.105,0.977
635,-0.129,0.020,1.027
636,-0.199,-0.082,1.020
637,-0.250,0.039,0.969
638,-0.195,0.000,1.062
639,-0.148,-0.172,0.891
640,-0.078,0.098,0.961
641,0.078,-0.102,1.105
642,0.176,0.004,0.898
643,0.055,-0.066,0.949
644,0.066,-0.227,1.004
645,-0.133,0.051,0.922
646,-0.168,-0.090,1.086
647,-0.129,-0.012,0.879
648,-0.109,0.004,1.012
649,0.020,0.109,1.055
650,-0.031,-0.055,0.934
651,-0.008,-0.133,1.109
652,0.008,-0.035,0.941
653,-0.043,-0.086,1.000
654,-0.004,0.008,0.996
655,0.055,-0.008,0.785
656,0.039,-0.051,0.988
657,-0.164,-0.043,0.957
658,-0.258,-0.238,1.008
659,-0.238,0.176,0.895
660,-0.109,-0.047,0.969
661,-0.219,-0.062,0.973
662,-0.176,0.086,0.895
663,-0.082,0.137,1.090
664,-0.043,-0.160,0.977
665,0.027,-0.184,0.934
666,-0.074,-0.105,1.074
667,-0.215,-0.250,1.109
668,-0.211,-0.004,0.996
669,-0.055,-0.055,0.988
670,0.176,0.070,0.930
671,-0.008,0.199,1.023
672,-0.039,-0.129,0.930
673,0.031,0.098,0.891
674,-0.016,-0.328,0.988
675,-0.039,-0.168,0.867
676,-0.152,0.059,0.922
677,-0.195,0.039,0.980
678,-0.152,-0.031,0.941
679,-0.082,-0.008,0.953
680,-0.043,0.094,0.922
681,-0.094,0.055,1.176
682,-0.215,-0.074,0.910
683,-0.234,-0.145,0.969
684,-0.121,-0.156,1.082
685,-0.168,0.078,0.816
686,-0.105,0.066,1.105
687,-0.176,-0.176,0.969
688,-0.098,-0.004,0.926
689,0.000,-0.113,1.090
690,0.000,0.023,0.895
691,0.008,-0.043,1.062
692,-0.016,-0.168,0.914
693,0.031,-0.004,0.914
694,-0.062,-0.066,0.980
695,-0.309,-0.051,0.949
696,-0.277,0.070,1.035
697,0.000,-0.145,1.016
698,-0.102,0.188,0.941
699,0.055,-0.160,1.102
700,0.012,0.176,0.945
701,0.180,-0.086,1.090
702,0.070,-0.129,0.844
703,-0.133,-0.348,0.965
704,-0.258,0.035,1.066
705,-0.191,0.004,0.812
706,-0.180,0.082,0.898
707,-0.180,-0.230,1.062
708,-0.301,0.254,0.883
709,-0.238,-0.051,1.121
710,-0.316,0.043,0.984
711,-0.164,-0.211,0.887
712,-0.074,0.016,0.887
713,0.129,0.066,0.949
714,0.270,0.090,0.871
715,0.145,-0.348,0.883
716,-0.098,-0.227,1.074
717,-0.207,-0.078,1.004
718,-0.109,-0.027,0.977
719,-0.109,0.215,0.926
720,0.012,-0.133,1.055
721,-0.043,0.223,1.066
722,-0.004,0.098,1.141
723,0.043,0.039,0.961
724,-0.125,-0.422,1.023
725,-0.250,-0.199,0.895
726,-0.223,-0.215,0.887
727,-0.141,0.102,0.902
728,0.090,-0.055,1.051
729,-0.047,0.086,0.945
730,-0.160,0.066,1.145
731,-0.133,0.023,1.047
732,-0.359,-0.008,0.797
733,-0.234,-0.379,1.047
734,-0.340,-0.023,0.859
735,-0.137,0.227,0.973
736,0.027,-0.066,0.965
737,-0.031,-0.109,0.965
738,0.047,-0.125,0.941
739,-0.254,0.133,0.848
740,-0.051,-0.098,1.094
741,0.082,-0.059,0.840
742,0.070,-0.043,0.934
743,0.066,0.031,1.164
744,-0.094,0.059,1.059
745,-0.090,-0.133,0.945
746,-0.258,-0.133,0.809
747,-0.156,-0.215,1.027
748,-0.207,0.207,0.785
749,0.004,-0.039,1.008
750,0.172,0.016,1.156
751,0.098,-0.121,0.965
752,-0.102,0.055,1.059
753,-0.148,-0.258,1.078
754,-0.246,-0.125,0.863
755,-0.203,-0.145,0.980
756,-0.117,-0.113,0.996
757,-0.168,0.145,1.102
758,-0.148,0.004,1.059
759,-0.090,0.039,0.930
760,-0.199,-0.070,1.016
761,-0.273,0.016,0.828
762,-0.203,0.000,0.883
763,-0.121,-0.133,0.949
764,-0.129,0.113,0.926
765,0.082,-0.098,1.047
766,0.086,0.059,0.828
767,0.129,-0.117,1.043
768,0.105,-0.105,0.891
769,-0.055,-0.055,0.852
770,-0.027,-0.098,1.160
771,-0.008,-0.023,0.941
772,-0.211,0.086,0.969
773,-0.211,-0.023,1.145
774,-0.199,0.094,0.840
775,-0.141,-0.055,0.988
776,-0.035,-0.262,1.012
777,-0.059,-0.008,0.996
778,-0.082,-0.094,1.195
779,0.035,-0.094,1.012
780,-0.059,-0.031,0.949
781,-0.207,-0.117,1.016
782,-0.195,0.016,0.918
783,-0.297,0.023,0.887
784,-0.242,-0.051,1.000
785,-0.055,-0.090,0.906
786,-0.176,0.090,0.891
787,-0.035,0.000,1.117
788,0.043,0.012,0.836
789,0.074,0.027,0.852
790,-0.047,-0.180,1.016
791,0.004,-0.062,0.875
792,-0.016,0.016,0.980
793,-0.176,-0.207,1.129
794,-0.117,-0.031,0.945
795,-0.039,0.148,0.945
796,-0.094,-0.023,1.008
797,-0.102,-0.008,0.930
798,-0.137,0.043,0.980
799,-0.195,-0.059,0.996
800,-0.031,-0.176,1.043
801,-0.094,0.000,0.914
802,-0.012,-0.195,1.051
803,-0.039,-0.105,0.988
804,-0.086,-0.008,1.000
805,-0.039,-0.086,1.027
806,-0.215,-0.109,1.008
807,-0.180,-0.020,1.082
808,-0.082,0.211,0.871
809,-0.137,-0.035,0.930
810,0.027,-0.098,1.004
811,-0.113,0.113,0.797
812,-0.227,-0.230,1.027
813,-0.254,-0.246,1.066
814,-0.250,-0.043,0.879
815,-0.023,0.207,0.918
816,-0.039,-0.117,1.012
817,-0.023,0.039,0.938
818,0.039,0.273,0.906
819,0.051,-0.242,1.141
820,-0.086,-0.109,0.969
821,-0.051,-0.094,0.809
822,-0.004,-0.148,1.023
823,-0.086,-0.109,0.934
824,-0.102,0.098,0.898
825,-0.027,0.055,1.039
826,-0.070,-0.102,1.062
827,-0.199,0.008,0.969
828,-0.141,-0.121,1.020
829,-0.125,-0.012,1.059
830,-0.094,-0.047,0.969
831,-0.078,0.004,0.871
832,0.004,-0.203,1.062
833,-0.133,0.043,0.941
834,-0.211,-0.078,0.988
835,-0.266,-0.188,1.008
836,-0.254,-0.137,1.004
837,-0.195,0.227,0.949
838,-0.078,0.012,0.996
839,-0.102,-0.008,0.984
840,-0.012,0.008,0.949
841,-0.035,0.094,0.922
842,-0.031,-0.262,0.973
843,-0.156,-0.066,0.852
844,-0.086,-0.145,1.020
845,-0.043,0.031,0.969
846,-0.086,-0.035,0.953
847,-0.094,0.066,0.988
848,0.074,0.074,0.984
849,-0.055,0.008,0.902
850,0.023,-0.133,0.977
851,0.000,-0.062,0.988
852,-0.113,-0.027,1.070
853,-0.039,-0.195,1.070
854,-0.109,-0.035,0.922
855,-0.152,-0.113,1.035
856,-0.305,-0.078,0.898
857,-0.262,0.055,0.949
858,-0.031,0.062,0.980
859,-0.102,0.094,0.902
860,-0.008,-0.164,1.055
861,-0.188,-0.008,0.965
