Sample,X,Y,Z
208,-0.094,-0.141,0.891
209,-0.008,-0.152,1.027
210,0.121,-0.215,1.121
211,0.180,-0.172,1.113
212,0.129,-0.012,1.039
213,0.016,-0.012,0.922
214,-0.180,-0.102,0.789
215,-0.051,-0.246,0.914
216,0.047,-0.105,1.000
217,0.094,-0.105,1.129
218,0.008,-0.047,1.109
219,-0.109,-0.176,0.977
220,-0.078,-0.242,0.934
221,-0.043,-0.066,0.914
222,0.098,-0.027,1.016
223,0.133,-0.027,1.043
224,0.070,-0.094,1.078
225,0.047,-0.309,1.051
226,0.008,-0.375,0.949
227,0.102,-0.215,0.969
228,0.055,-0.121,0.965
229,-0.117,0.031,0.922
230,-0.145,0.039,0.953
231,-0.090,-0.133,0.930
232,-0.055,-0.121,0.949
233,-0.023,-0.270,0.992
234,-0.039,-0.223,0.922
235,0.113,-0.203,0.891
236,0.266,-0.164,0.785
237,0.188,-0.199,0.809
238,-0.070,-0.305,0.961
239,-0.188,-0.242,1.035
240,-0.129,-0.207,1.082
241,0.023,0.043,1.027
242,0.082,0.008,1.012
243,-0.062,-0.141,0.961
244,-0.098,-0.277,0.973
245,-0.012,-0.203,0.988
246,0.117,-0.004,1.051
247,0.082,-0.215,0.969
248,-0.008,-0.426,0.871
249,0.055,-0.312,1.035
250,0.125,0.031,1.105
251,0.094,0.113,1.109
252,-0.059,-0.234,1.035
253,-0.168,-0.203,0.887
254,-0.066,-0.020,0.910
255,-0.016,-0.047,0.906
256,0.059,-0.344,0.934
257,0.051,-0.328,0.957
258,0.023,0.012,0.984
259,0.012,0.047,0.992
260,-0.078,-0.191,0.812
261,-0.031,-0.285,0.887
262,0.027,-0.016,1.059
263,0.016,0.234,1.133
264,0.047,-0.102,1.094
265,0.055,-0.379,0.941
266,0.102,-0.293,0.887
267,-0.031,0.098,0.875
268,-0.027,0.035,0.871
269,-0.008,-0.105,0.836
270,0.020,-0.207,1.016
271,-0.082,-0.066,1.188
272,-0.086,0.023,1.207
273,0.004,-0.191,1.031
274,0.066,-0.180,0.996
275,0.117,-0.109,1.000
276,0.016,0.000,0.867
277,0.059,-0.301,0.965
278,0.113,-0.441,0.984
279,0.066,-0.355,1.031
280,-0.043,-0.090,1.000
281,-0.109,-0.102,0.969
282,-0.027,-0.047,0.902
283,-0.043,0.004,0.828
284,-0.184,-0.008,0.926
285,-0.148,-0.113,1.000
286,0.082,-0.172,0.953
287,0.227,-0.215,0.930
288,0.215,-0.406,0.977
289,0.086,-0.168,0.840
290,0.039,-0.023,0.898
291,-0.059,-0.020,0.965
292,-0.188,-0.172,0.992
293,-0.121,-0.195,1.105
294,-0.074,-0.008,1.145
295,0.004,-0.145,1.180
296,0.074,-0.238,0.984
297,0.008,-0.152,0.844
298,0.055,-0.246,0.930
299,-0.008,-0.242,0.820
300,0.059,-0.305,0.980
301,0.090,-0.223,1.012
302,0.117,-0.059,1.023
303,0.020,-0.062,1.008
304,-0.160,-0.137,0.957
305,-0.113,-0.219,0.926
306,0.023,0.000,0.887
307,0.062,0.125,1.004
308,0.109,-0.098,1.035
309,-0.043,-0.250,0.922
310,-0.035,-0.309,1.078
311,0.027,-0.238,1.039
312,0.000,0.004,0.871
313,0.070,0.066,0.977
314,0.113,0.059,0.988
315,0.000,-0.078,0.879
316,-0.066,-0.250,1.027
317,-0.004,-0.289,1.055
318,0.000,-0.117,0.906
319,0.027,-0.086,0.875
320,-0.027,-0.086,0.852
321,-0.090,-0.074,0.875
322,-0.066,-0.172,0.977
323,0.023,-0.207,1.070
324,0.105,-0.117,1.121
325,0.070,-0.082,1.023
326,0.066,-0.203,0.957
327,0.059,-0.164,0.980
328,0.094,-0.164,1.062
329,0.020,-0.066,1.020
330,-0.023,-0.125,1.109
331,-0.059,-0.098,0.996
332,-0.055,-0.133,0.934
333,-0.035,-0.203,0.984
334,-0.070,-0.199,0.984
335,0.020,-0.078,1.039
336,0.070,0.051,0.965
337,0.082,-0.215,0.898
338,0.016,-0.246,0.832
339,0.004,-0.258,0.863
340,0.031,-0.195,0.945
341,-0.016,-0.125,0.957
342,-0.012,-0.168,0.922
343,-0.008,0.027,0.895
344,-0.012,-0.047,0.918
345,-0.074,-0.242,0.875
346,-0.062,-0.188,0.984
347,0.027,0.004,1.016
348,0.098,-0.066,1.008
349,0.070,-0.293,0.977
350,0.004,-0.238,0.930
351,0.055,-0.160,1.074
352,0.012,-0.008,1.051
353,-0.012,-0.152,1.039
354,0.004,-0.156,1.059
355,0.031,-0.125,1.035
356,-0.004,-0.117,1.039
357,0.039,-0.223,1.047
358,0.023,-0.230,0.945
359,0.000,-0.094,0.918
360,0.008,-0.168,0.977
361,-0.059,-0.133,0.859
362,-0.004,-0.219,0.969
363,0.074,-0.121,0.984
364,0.047,-0.012,1.008
365,-0.004,0.004,0.965
366,-0.055,-0.105,0.926
367,-0.062,-0.180,0.891
368,-0.047,-0.102,0.836
369,0.031,-0.027,0.957
370,0.066,-0.031,0.988
371,0.051,-0.188,1.031
372,0.035,-0.184,1.012
373,-0.020,0.004,0.992
374,0.023,-0.184,1.012
375,-0.059,-0.172,0.848
376,-0.016,-0.184,1.016
377,0.090,0.031,1.043
378,0.078,-0.051,1.000
379,0.043,-0.363,1.035
380,-0.023,-0.363,0.973
381,-0.023,-0.098,0.988
382,0.004,0.035,1.027
383,0.012,-0.219,1.012
384,-0.035,-0.191,1.004
385,0.004,-0.152,1.105
386,0.000,-0.055,1.074
387,0.027,-0.164,0.992
388,0.078,-0.324,0.910
389,0.039,-0.113,0.828
390,0.051,-0.008,0.887
391,0.004,-0.012,0.855
392,-0.059,-0.215,0.848
393,-0.031,-0.191,0.953
394,-0.102,0.027,0.941
395,-0.051,-0.035,1.043
396,-0.051,-0.176,0.918
397,-0.004,-0.199,0.828
398,0.082,-0.012,0.957
399,0.098,-0.043,0.973
400,0.082,-0.359,0.961
401,0.020,-0.449,1.031
402,-0.027,-0.250,1.043
403,-0.008,0.020,1.020
404,-0.020,-0.082,0.992
