RepRapFirmware height map file v2 generated at 2025-05-23 09:14, min error -0.240, max error 0.490, mean 0.122, deviation 0.151
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,0.00,1080.00,26.00,580.00,-1.00,56.84,61.55,20,10
 -0.122,  0.047,  0.054,  0.167,  0.229,  0.264,  0.340,  0.354,  0.391,  0.417,  0.490,  0.394,  0.366,  0.386,  0.387,  0.292,  0.426,  0.228,  0.212,  0.198
 -0.153,  0.003,  0.019,  0.129,  0.166,  0.220,  0.290,  0.299,  0.323,  0.347,  0.353,  0.327,  0.297,  0.307,  0.287,  0.222,  0.287,  0.150,  0.150,  0.204
 -0.183, -0.057, -0.018,  0.078,  0.126,  0.168,  0.224,  0.236,  0.252,  0.273,  0.281,  0.264,  0.237,  0.236,  0.211,  0.162,  0.164,  0.092,  0.074,  0.134
 -0.192, -0.075, -0.038,  0.057,  0.093,  0.124,  0.188,  0.194,  0.216,  0.254,  0.246,  0.220,  0.204,  0.185,  0.153,  0.104,  0.098,  0.036,  0.038,  0.118
 -0.224, -0.123, -0.075,  0.025,  0.049,  0.090,  0.163,  0.156,  0.220,  0.273,  0.186,  0.172,  0.156,  0.134,  0.092,  0.034,  0.035, -0.037,  0.061,  0.082
 -0.240, -0.122, -0.067,  0.004,  0.029,  0.075,  0.209,  0.163,  0.173,  0.180,  0.180,  0.167,  0.148,  0.130,  0.076,  0.012, -0.003, -0.064, -0.030,  0.044
 -0.230, -0.095, -0.019,  0.005,  0.048,  0.095,  0.155,  0.167,  0.185,  0.204,  0.202,  0.203,  0.167,  0.120,  0.063, -0.001, -0.037, -0.093, -0.117, -0.160
 -0.200, -0.040,  0.005,  0.029,  0.074,  0.119,  0.187,  0.181,  0.225,  0.224,  0.218,  0.185,  0.152,  0.126,  0.064, -0.013, -0.064, -0.113, -0.137, -0.173
 -0.151, -0.021,  0.029,  0.095,  0.141,  0.166,  0.232,  0.240,  0.274,  0.298,  0.280,  0.236,  0.192,  0.164,  0.100,  0.030, -0.008, -0.057, -0.092, -0.143
 -0.082,  0.001,  0.116,  0.205,  0.192,  0.221,  0.310,  0.293,  0.339,  0.374,  0.351,  0.306,  0.252,  0.217,  0.157,  0.062,  0.007, -0.042, -0.092, -0.180
