Sample,X,Y,Z
0,0.043,-0.078,0.609
1,-0.031,-0.027,0.992
2,-0.004,-0.035,1.020
3,-0.016,-0.031,0.965
4,0.008,-0.035,0.965
5,0.008,-0.016,0.965
6,0.000,-0.012,0.973
7,0.016,-0.078,1.012
8,0.008,-0.039,0.984
9,0.051,-0.004,1.004
10,0.016,-0.012,0.934
11,0.000,-0.078,0.941
12,-0.004,-0.059,0.969
13,-0.004,-0.031,0.996
14,0.000,-0.016,1.016
15,-0.016,0.000,0.980
16,0.000,0.008,0.961
17,0.000,0.008,0.930
18,-0.012,-0.086,0.965
19,0.055,-0.070,1.012
20,0.117,0.012,0.988
21,0.133,-0.047,1.008
22,0.023,-0.125,0.957
23,-0.027,-0.051,0.969
24,-0.047,0.004,0.969
25,-0.113,-0.051,0.965
26,-0.074,-0.035,1.027
27,-0.047,0.094,0.961
28,0.027,0.027,0.996
29,0.031,-0.043,0.941
30,0.020,-0.082,0.938
31,-0.008,-0.066,0.984
32,0.020,-0.082,0.965
33,0.070,-0.039,0.930
34,0.035,-0.020,0.969
35,0.016,-0.055,0.992
36,-0.023,-0.031,0.949
37,0.000,-0.008,1.039
38,0.000,0.000,0.996
39,-0.062,-0.023,0.965
40,-0.062,-0.023,0.988
41,0.004,-0.027,0.973
42,0.051,-0.027,0.969
43,0.020,-0.082,0.988
44,0.016,-0.141,0.992
45,0.066,0.027,0.969
46,0.082,-0.023,0.969
47,0.008,-0.055,0.980
48,-0.066,-0.141,0.973
49,-0.043,0.004,0.996
50,0.043,0.047,1.027
51,0.012,-0.027,0.965
52,0.004,-0.086,0.957
53,-0.082,0.004,0.938
54,-0.008,-0.055,1.004
55,-0.008,-0.094,0.961
56,0.023,-0.082,0.980
57,0.059,0.012,1.000
58,0.020,0.031,0.949
59,0.012,-0.016,0.969
60,-0.004,-0.082,0.961
61,-0.027,-0.043,0.992
62,-0.027,-0.004,0.977
63,-0.023,-0.035,0.973
64,0.059,-0.031,0.934
65,0.043,-0.027,0.938
66,0.004,-0.070,1.020
67,-0.031,-0.070,0.984
68,0.020,-0.012,0.996
69,0.031,-0.031,0.988
70,-0.035,-0.016,0.949
71,0.020,-0.043,0.996
72,-0.031,0.004,0.949
73,0.055,-0.074,1.031
74,0.039,-0.035,0.957
75,-0.008,-0.051,0.973
76,0.027,-0.051,0.977
77,-0.035,-0.055,0.910
78,-0.012,-0.043,0.992
79,-0.059,0.000,0.988
80,0.039,-0.008,1.016
81,0.039,-0.004,0.949
82,0.000,-0.133,0.977
83,0.023,-0.035,0.973
84,0.004,0.000,0.938
85,0.023,-0.039,1.016
86,0.000,-0.086,0.961
87,-0.047,-0.043,0.969
