Sample,X,Y,Z
211,-0.004,-0.012,0.945
212,0.035,-0.027,1.020
213,0.039,0.000,0.938
214,0.035,-0.066,0.898
215,0.023,-0.078,0.988
216,-0.051,-0.012,0.930
217,0.016,-0.094,0.945
218,0.012,0.031,0.973
219,0.016,-0.070,0.992
220,0.012,-0.074,0.977
221,0.012,0.055,0.879
222,0.078,-0.047,1.012
223,0.027,-0.078,1.020
224,-0.004,-0.039,0.879
225,-0.012,-0.055,0.938
226,-0.012,-0.113,0.992
227,0.004,-0.055,0.977
228,-0.020,0.039,0.977
229,0.043,0.035,0.969
230,0.039,-0.086,0.973
231,0.023,-0.039,0.906
232,0.023,-0.062,0.930
233,0.016,-0.055,0.969
234,-0.008,-0.023,0.895
235,0.035,-0.016,0.996
236,0.020,-0.031,0.980
237,-0.027,-0.086,0.883
238,-0.008,-0.031,0.918
239,0.027,0.059,0.980
240,-0.004,-0.059,0.984
241,-0.023,-0.008,0.930
242,0.016,0.016,0.953
243,0.043,-0.059,1.031
244,0.031,-0.090,0.922
245,0.035,-0.074,0.934
246,-0.004,0.000,0.938
247,0.047,-0.090,1.012
248,-0.023,-0.008,0.895
249,0.023,-0.020,0.992
250,-0.008,-0.055,0.984
251,0.000,-0.074,0.988
252,0.020,0.000,0.938
253,0.008,0.016,0.988
254,0.047,-0.121,1.023
255,0.047,-0.121,1.023
256,-0.008,-0.039,0.859
257,0.031,-0.125,0.969
258,-0.008,-0.008,0.984
259,-0.016,0.004,0.949
260,0.012,-0.020,0.953
261,0.035,-0.023,0.938
262,0.059,-0.078,0.977
263,0.020,-0.023,0.887
264,0.016,-0.074,0.969
265,0.023,-0.047,0.977
266,-0.027,-0.062,0.977
267,0.012,-0.039,0.953
268,-0.039,-0.059,0.906
269,-0.023,-0.035,0.953
270,0.012,-0.008,1.008
271,-0.031,0.051,0.918
272,0.035,0.004,0.938
273,0.016,-0.105,0.988
274,0.066,-0.137,0.953
275,0.039,-0.078,0.902
276,0.031,-0.012,0.988
277,0.059,-0.047,1.047
278,-0.031,-0.020,0.922
279,-0.023,-0.051,0.945
280,-0.016,-0.031,1.020
281,-0.059,-0.004,0.945
282,-0.043,-0.008,0.938
283,0.027,0.027,1.000
284,0.066,-0.027,0.973
285,0.070,-0.098,0.914
286,0.070,-0.164,0.914
287,0.082,-0.035,0.930
288,0.027,0.027,0.941
289,0.000,-0.047,0.969
290,-0.039,-0.004,0.941
291,-0.098,0.027,0.957
292,-0.008,-0.051,1.020
293,-0.031,0.039,0.922
294,0.020,-0.012,0.961
295,0.035,-0.125,1.000
296,0.016,-0.078,0.930
297,0.066,-0.066,0.922
298,-0.008,-0.020,0.902
299,0.090,-0.133,1.051
300,0.016,0.035,0.906
301,-0.031,-0.043,0.949
302,0.023,-0.035,1.043
303,-0.055,0.047,0.941
304,0.008,-0.086,0.988
305,0.023,0.004,0.922
306,-0.008,-0.082,0.961
307,0.059,-0.109,0.992
308,-0.027,-0.051,0.844
309,0.035,-0.066,0.980
310,0.051,0.090,0.977
311,-0.012,-0.031,0.906
312,0.039,-0.121,0.965
313,-0.008,-0.031,0.957
314,0.043,-0.113,1.008
315,0.000,0.027,0.922
316,-0.023,-0.031,0.953
317,0.004,-0.078,1.008
318,-0.004,-0.020,0.875
319,0.008,-0.078,0.941
320,0.016,0.008,1.023
321,-0.020,-0.027,0.938
322,0.027,-0.035,0.953
323,0.020,0.016,0.961
324,0.020,-0.062,0.992
325,0.023,-0.078,0.957
326,0.004,-0.051,0.895
327,0.051,-0.078,0.996
328,0.020,-0.016,0.980
329,-0.004,-0.023,0.922
330,0.000,-0.031,0.992
331,-0.035,-0.043,0.965
332,-0.016,-0.004,0.949
333,-0.004,-0.020,0.938
334,0.012,-0.035,0.961
335,0.023,-0.105,1.008
336,0.008,0.012,0.898
337,0.066,-0.086,0.961
338,0.039,-0.031,0.965
339,0.004,-0.055,0.957
340,0.008,-0.008,0.934
341,-0.039,-0.008,0.910
342,-0.027,-0.035,0.973
343,-0.039,-0.004,0.969
344,-0.004,-0.023,0.969
345,0.004,-0.027,0.941
346,0.035,-0.051,0.988
347,0.070,-0.047,0.941
348,0.043,-0.035,0.910
349,0.070,-0.133,1.004
350,0.023,-0.004,0.930
351,-0.004,-0.066,0.961
352,-0.020,-0.012,0.941
353,-0.059,-0.074,1.020
354,0.008,-0.020,0.984
355,-0.016,0.082,0.891
356,0.051,-0.098,1.062
357,0.012,-0.039,0.910
358,0.008,-0.102,0.918
359,0.070,-0.039,0.945
360,0.004,-0.055,0.984
361,0.039,-0.078,0.961
362,-0.012,0.016,0.914
363,-0.004,-0.047,0.996
364,0.027,-0.012,0.977
365,-0.055,0.020,0.898
366,0.043,-0.023,0.996
367,-0.016,-0.020,0.961
368,0.008,-0.086,0.926
369,0.023,-0.102,0.961
370,0.035,-0.020,0.980
371,0.062,-0.082,0.992
372,0.004,0.047,0.906
373,0.027,-0.078,0.992
374,-0.031,-0.047,0.965
375,-0.020,-0.035,0.953
376,-0.039,0.027,0.953
377,0.016,-0.023,1.016
378,0.051,-0.059,0.922
379,0.039,-0.074,0.926
380,0.039,-0.098,0.988
381,0.035,-0.016,0.930
382,0.000,-0.031,0.949
383,0.027,-0.035,1.016
384,0.004,-0.004,0.957
385,0.008,-0.051,0.926
386,0.008,-0.008,0.938
387,-0.020,-0.082,0.988
388,0.043,0.012,0.926
389,-0.012,-0.004,0.922
390,0.043,-0.078,1.023
391,0.016,-0.070,0.926
392,-0.016,-0.109,0.906
393,0.062,-0.043,1.020
394,-0.008,0.059,0.969
395,0.031,-0.039,0.965
396,0.004,-0.008,0.938
397,-0.004,-0.078,0.980
398,-0.008,-0.074,0.922
399,-0.023,-0.055,0.879
400,0.039,-0.035,1.023
401,0.023,-0.012,0.992
402,-0.016,-0.055,0.918
403,0.004,-0.047,0.949
404,0.004,-0.062,1.012
405,0.043,-0.055,0.965
406,0.027,0.074,0.902
407,0.059,0.000,1.000
408,0.012,-0.074,0.992
409,0.020,-0.184,0.906
410,0.016,-0.039,0.914
411,0.004,-0.020,1.031
412,-0.051,-0.008,0.941
413,-0.047,-0.008,0.922
414,-0.008,-0.020,0.988
415,0.004,-0.039,1.008
416,0.008,0.031,0.895
417,0.043,0.000,0.949
418,0.090,-0.098,1.039
419,0.008,-0.172,0.953
420,0.008,-0.043,0.867
421,0.043,-0.059,0.984
422,0.004,0.004,0.984
423,0.004,0.004,0.984
424,-0.004,-0.051,0.992
425,-0.039,0.078,0.863
426,0.023,-0.035,1.004
427,-0.004,-0.062,0.996
428,0.004,-0.062,0.934
429,0.051,0.008,0.934
430,0.039,-0.043,0.965
431,0.047,-0.172,1.016
432,0.020,-0.039,0.875
433,-0.031,-0.047,0.922
434,0.016,-0.023,1.008
435,0.000,0.035,0.996
436,-0.008,0.031,0.914
437,0.051,0.035,1.020
438,0.012,-0.074,1.012
439,0.043,-0.074,0.914
440,-0.020,-0.090,0.875
441,0.027,-0.105,1.004
442,0.008,-0.020,0.969
443,-0.008,0.004,0.902
444,0.000,-0.012,0.957
445,0.031,-0.008,1.004
446,0.016,-0.020,0.934
447,0.023,-0.027,0.969
448,0.016,-0.039,0.980
449,0.012,-0.039,0.973
450,0.004,-0.121,0.977
451,0.004,-0.090,0.914
452,0.031,-0.016,0.926
453,0.000,-0.008,0.980
454,0.012,-0.012,0.973
455,0.012,0.012,0.957
456,0.004,0.043,0.965
457,0.016,-0.121,1.043
458,-0.012,-0.070,0.938
459,-0.016,-0.062,0.918
460,0.031,-0.070,1.016
461,-0.008,0.059,0.957
462,0.031,-0.043,0.934
463,0.051,-0.066,0.906
464,0.004,-0.078,0.914
465,0.016,0.008,0.957
466,-0.066,0.023,0.938
467,-0.012,-0.074,1.047
468,-0.016,-0.051,0.973
469,0.027,-0.008,0.969
470,0.098,-0.047,1.000
471,0.008,-0.047,0.883
472,0.066,-0.102,0.973
473,0.012,0.012,0.941
474,-0.027,-0.051,0.938
475,0.000,-0.059,0.953
476,-0.074,-0.035,0.918
477,0.035,-0.102,1.066
478,-0.039,0.023,0.906
479,-0.020,-0.066,0.957
480,0.090,-0.023,1.031
481,0.023,0.047,0.980
482,0.109,-0.059,0.957
483,0.027,-0.066,0.875
484,0.059,-0.109,0.973
485,0.020,-0.051,0.961
486,-0.066,-0.016,0.902
487,-0.008,-0.047,0.977
488,-0.070,0.070,0.934
489,-0.023,-0.109,1.000
490,-0.023,-0.016,0.934
491,0.012,0.023,0.953
492,0.078,0.004,1.004
493,0.074,-0.043,0.977
494,0.059,-0.098,0.914
495,0.059,-0.078,0.934
496,0.004,-0.160,0.984
497,-0.008,0.012,0.918
498,-0.039,0.016,0.969
499,-0.027,0.008,0.973
500,-0.023,-0.051,0.984
501,-0.051,0.031,0.918
502,0.000,-0.062,0.992
503,0.043,-0.020,0.969
504,0.066,-0.141,0.957
505,0.094,-0.082,0.961
506,0.078,-0.066,0.957
507,0.027,-0.098,0.945
508,0.031,-0.066,0.980
509,-0.062,0.047,0.945
510,-0.047,0.043,0.941
511,-0.070,0.004,0.949
512,-0.016,-0.070,0.977
513,-0.012,-0.027,0.953
514,0.039,0.031,0.941
515,0.094,-0.055,0.965
516,0.078,-0.121,0.953
517,0.059,-0.109,0.938
518,0.070,-0.047,0.945
519,-0.012,-0.012,0.949
520,-0.020,0.016,1.012
521,-0.031,0.008,0.961
522,-0.074,0.016,0.910
523,-0.004,-0.070,1.000
524,-0.043,-0.066,0.938
525,0.035,-0.090,0.938
526,0.086,-0.004,0.965
527,0.086,-0.098,1.031
528,0.082,-0.055,0.957
529,-0.023,-0.070,0.902
530,0.016,-0.082,1.004
531,-0.035,-0.012,0.945
532,-0.051,0.020,0.918
533,-0.004,-0.035,1.004
534,-0.027,0.031,0.969
535,-0.016,-0.078,0.922
536,0.020,-0.082,0.926
537,0.062,-0.047,0.965
538,0.066,-0.086,0.984
539,0.020,0.008,0.914
540,0.078,-0.035,1.008
541,-0.016,-0.004,0.965
542,-0.008,-0.066,0.941
543,-0.020,0.004,0.930
544,-0.020,0.000,0.969
545,0.016,-0.043,0.957
546,0.008,-0.062,0.953
547,0.035,-0.004,0.930
548,0.051,-0.074,1.020
549,0.031,-0.074,0.973
550,0.023,-0.062,0.969
551,0.004,-0.023,0.988
552,-0.012,-0.074,0.992
553,-0.023,0.004,0.922
554,-0.004,0.016,0.941
555,0.016,-0.004,0.992
556,-0.012,-0.004,0.930
557,0.023,-0.066,0.879
558,0.062,-0.105,0.973
559,0.055,-0.043,0.961
560,0.008,-0.051,0.938
561,0.023,-0.043,0.992
562,-0.008,0.035,0.953
563,0.008,-0.023,0.996
564,0.000,-0.074,0.969
565,-0.016,-0.008,0.879
566,-0.008,-0.039,0.930
567,-0.008,-0.031,0.973
568,0.023,0.008,0.945
569,0.016,-0.035,0.938
570,0.051,-0.164,1.004
571,0.086,-0.074,0.969
572,0.012,0.031,0.891
573,0.027,-0.109,1.059
574,0.004,-0.004,0.969
575,-0.020,0.000,0.914
576,0.004,-0.043,0.984
577,-0.027,-0.012,0.941
578,-0.008,-0.105,0.918
579,-0.031,-0.012,0.926
580,0.031,-0.043,1.047
581,0.039,0.043,0.914
582,0.027,-0.031,0.918
583,0.105,-0.121,1.035
584,0.039,-0.059,0.922
585,0.004,-0.055,0.906
586,0.008,0.000,0.988
587,-0.020,-0.059,0.984
588,-0.027,0.020,0.906
589,-0.016,0.004,0.965
590,-0.031,-0.105,0.973
591,-0.008,0.008,0.906
592,0.023,-0.031,0.980
593,0.066,-0.016,0.996
594,0.043,-0.023,0.949
595,0.035,-0.070,0.941
596,0.055,-0.156,1.000
597,0.004,0.016,0.887
598,0.004,-0.039,0.988
599,-0.023,-0.062,1.000
600,-0.062,0.004,0.914
601,-0.027,0.078,0.953
602,0.000,0.000,0.980
603,0.043,-0.121,0.973
604,0.043,-0.070,0.918
605,0.059,-0.109,0.992
606,0.074,-0.031,0.945
607,0.035,-0.074,0.945
608,0.004,-0.051,0.953
609,0.016,-0.035,1.004
610,-0.035,0.031,0.906
611,-0.016,-0.023,0.953
612,-0.008,-0.051,0.973
613,-0.023,-0.008,0.918
614,0.016,0.023,0.953
615,0.020,-0.055,0.961
616,0.035,-0.086,0.934
617,0.043,-0.066,0.965
618,0.047,-0.066,0.965
619,0.043,-0.043,0.984
620,0.023,0.047,0.945
621,-0.023,-0.066,0.973
622,0.000,-0.074,1.004
623,-0.043,0.059,0.875
624,-0.043,-0.086,1.000
625,0.004,-0.074,0.969
626,-0.020,-0.016,0.891
627,0.094,-0.062,1.023
628,0.020,-0.016,0.922
629,0.082,-0.078,0.988
630,0.027,-0.059,0.945
631,0.012,-0.027,0.949
632,0.023,-0.031,1.000
633,-0.043,-0.023,0.910
634,0.000,-0.070,0.949
635,0.012,0.023,0.961
636,0.000,-0.035,0.918
637,0.031,-0.020,0.941
638,-0.012,-0.051,0.957
639,0.031,-0.133,0.988
640,0.004,0.008,0.953
641,0.008,-0.004,0.992
642,0.051,-0.059,1.023
643,0.012,-0.008,0.902
644,0.020,-0.043,0.941
645,0.012,-0.070,0.980
646,-0.008,-0.008,0.906
647,-0.004,-0.062,0.961
648,0.016,-0.043,0.980
649,0.031,-0.023,0.961
650,-0.016,-0.027,0.945
651,0.031,-0.090,0.988
652,0.051,-0.039,0.957
653,0.035,0.008,0.949
654,0.000,-0.055,0.941
655,0.051,-0.059,0.984
656,-0.039,-0.035,0.902
657,0.000,-0.078,0.969
658,0.004,-0.031,0.969
659,-0.008,0.043,0.926
660,0.012,-0.090,0.992
661,0.000,-0.051,0.949
662,0.020,-0.039,0.973
663,0.051,0.027,0.957
664,0.023,-0.020,0.922
665,0.066,-0.074,1.004
666,-0.008,-0.098,0.910
667,-0.012,-0.105,0.953
668,-0.004,-0.004,0.977
669,-0.074,0.039,0.945
670,0.047,-0.090,1.008
671,-0.020,0.031,0.910
672,0.023,-0.066,1.004
673,0.035,-0.035,0.945
674,0.004,-0.051,0.902
675,0.074,-0.055,1.016
676,0.027,-0.004,0.957
677,0.023,-0.117,0.941
678,-0.004,-0.043,0.922
679,-0.016,-0.094,0.988
680,-0.020,0.051,0.953
681,-0.035,0.051,0.941
682,-0.035,-0.023,0.973
683,0.055,-0.027,1.000
684,0.004,-0.055,0.910
685,0.066,-0.129,0.980
686,0.074,-0.070,0.961
687,0.027,0.000,0.914
688,0.047,-0.070,1.004
689,-0.023,-0.016,0.906
690,-0.020,-0.066,0.949
691,-0.039,0.008,0.965
692,-0.012,0.016,0.965
693,0.008,-0.012,1.004
694,-0.023,0.008,0.934
695,0.027,-0.137,1.000
696,0.035,-0.051,0.945
697,0.027,-0.031,0.938
698,0.094,-0.074,1.000
699,0.039,0.020,0.926
700,0.027,-0.020,0.957
701,-0.008,-0.070,0.969
