Sample,X,Y,Z
0,0.070,-0.055,0.477
1,0.055,-0.012,0.824
2,0.164,-0.250,0.848
3,-0.254,-0.273,0.906
4,0.109,-0.324,0.730
5,-0.051,-0.180,0.941
6,0.168,0.008,1.113
7,0.039,-0.230,0.867
8,0.043,-0.293,0.953
9,0.121,-0.336,1.086
10,0.105,0.105,0.973
11,0.012,-0.277,0.973
12,-0.008,-0.145,0.953
13,-0.059,-0.109,1.109
14,0.090,-0.008,1.000
15,0.078,0.031,0.863
16,-0.047,-0.215,1.082
17,0.086,-0.141,0.996
18,0.062,0.129,0.879
19,-0.027,0.082,1.004
20,-0.004,0.020,0.984
21,-0.109,-0.047,0.980
22,0.199,0.066,0.891
23,-0.051,0.035,0.945
24,-0.004,0.035,0.934
25,0.090,0.066,0.941
26,-0.008,0.121,0.957
27,0.059,0.129,1.012
28,0.082,0.117,1.000
29,-0.082,-0.145,0.926
30,0.141,-0.008,1.016
31,-0.062,0.137,1.086
32,-0.078,0.152,1.027
33,0.121,-0.031,1.109
34,-0.109,0.000,1.012
35,0.125,-0.020,1.082
36,0.086,-0.027,1.156
37,-0.016,0.020,1.016
38,0.195,-0.109,0.992
39,-0.055,0.035,1.070
40,0.082,0.012,1.004
41,0.004,-0.148,0.934
42,-0.188,-0.133,1.051
43,0.238,0.004,1.047
44,-0.047,0.008,0.879
45,0.074,-0.168,1.000
46,-0.074,-0.219,0.852
47,0.016,0.004,0.887
48,0.141,-0.090,0.840
49,-0.141,-0.074,0.914
50,0.246,-0.113,0.844
51,-0.039,-0.215,0.785
52,0.156,-0.184,1.016
53,0.078,-0.137,0.699
54,-0.086,-0.094,0.918
55,0.078,-0.164,0.859
56,-0.047,-0.043,0.941
57,0.082,-0.148,0.945
58,-0.039,-0.164,0.785
59,0.062,-0.262,1.102
60,-0.027,-0.035,0.992
61,0.223,0.094,0.844
62,-0.109,-0.227,0.973
63,0.117,-0.176,1.047
64,0.113,-0.176,0.910
65,-0.027,0.070,0.934
66,0.148,-0.234,1.148
67,-0.180,0.035,0.980
68,0.066,0.000,0.953
69,0.023,0.000,1.031
70,0.004,-0.070,1.059
71,0.094,-0.160,0.910
72,0.008,0.012,1.109
73,0.141,0.141,0.895
74,0.000,0.098,0.902
75,-0.031,-0.262,1.051
76,-0.090,-0.039,0.801
77,0.117,0.164,1.035
78,0.031,0.129,0.969
79,-0.012,0.102,0.969
80,0.121,-0.152,1.039
81,-0.066,0.160,0.969
82,0.070,0.035,1.016
83,-0.004,0.016,0.973
84,-0.090,0.055,1.023
85,0.078,-0.066,1.055
86,0.066,0.102,0.973
87,-0.051,0.016,1.031
88,0.129,-0.199,1.102
89,0.027,-0.117,0.953
90,0.105,0.148,0.996
91,0.000,-0.109,1.094
92,0.016,0.008,0.965
93,0.102,-0.160,1.004
94,-0.066,-0.129,1.016
95,0.039,-0.082,0.898
96,0.027,-0.121,0.961
97,-0.066,-0.141,1.016
98,0.082,0.008,0.895
99,0.141,-0.035,0.922
100,-0.016,-0.195,0.836
101,0.055,-0.234,0.875
102,0.090,-0.066,0.859
103,-0.082,-0.125,0.895
104,0.062,-0.051,0.801
105,0.023,0.016,1.012
106,0.078,-0.113,0.891
107,-0.062,-0.293,0.824
108,0.195,-0.133,0.934
109,-0.039,-0.117,0.906
110,0.039,-0.102,1.012
111,-0.004,0.043,0.812
112,-0.027,0.082,0.984
113,0.121,-0.430,1.105
114,-0.012,-0.066,0.848
115,0.086,-0.027,0.938
116,0.047,-0.047,1.047
117,0.051,-0.039,1.098
118,-0.004,-0.082,0.922
119,0.082,-0.039,0.984
120,-0.020,-0.129,1.062
121,0.074,-0.043,0.992
122,0.031,-0.148,1.012
123,-0.074,0.031,0.945
124,0.109,0.035,1.066
125,-0.070,0.086,0.984
126,0.137,-0.012,0.969
127,-0.008,-0.145,1.004
128,0.059,0.047,0.973
129,-0.020,0.051,0.891
130,0.051,0.105,1.027
131,-0.059,-0.137,0.988
132,-0.027,0.074,0.945
133,0.188,0.086,1.090
134,0.078,0.055,0.977
135,-0.031,-0.297,0.969
136,0.094,0.000,0.898
137,-0.020,0.160,1.016
138,-0.020,-0.066,0.961
139,0.039,0.027,0.922
140,-0.133,0.027,1.051
141,0.262,-0.113,0.953
142,-0.168,-0.188,0.996
143,0.168,-0.016,1.012
144,0.023,-0.172,0.934
145,-0.035,-0.004,0.969
146,0.133,-0.148,1.000
147,-0.020,-0.207,0.961
148,0.113,-0.258,0.840
149,0.000,-0.035,0.953
150,0.074,-0.066,1.082
151,0.082,-0.074,0.785
152,-0.020,-0.117,0.902
