Sample,X,Y,Z
0,0.043,-0.207,0.785
1,0.074,-0.117,0.859
2,0.102,-0.004,1.027
3,0.027,-0.094,0.957
4,-0.074,0.027,0.902
5,0.152,-0.129,1.023
6,-0.008,0.066,0.855
7,-0.090,-0.117,0.949
8,0.180,-0.215,1.203
9,-0.012,0.078,0.684
10,0.113,-0.129,1.125
11,0.105,-0.121,1.047
12,-0.152,0.082,0.789
13,0.152,-0.195,1.094
14,-0.059,0.016,0.879
15,0.039,-0.062,1.000
16,0.020,-0.035,1.012
17,-0.105,0.020,0.875
18,0.070,-0.203,1.020
19,0.086,0.094,0.938
20,0.074,-0.125,0.934
21,0.066,-0.020,0.996
22,0.004,-0.184,1.027
23,0.039,-0.035,0.820
24,0.152,-0.078,1.070
25,0.000,-0.035,0.949
26,0.012,0.062,0.906
27,0.027,-0.168,1.023
28,-0.016,-0.039,0.945
29,0.016,0.004,0.961
30,0.027,-0.094,1.027
31,-0.031,0.035,0.848
32,0.074,-0.141,1.066
33,0.031,-0.062,0.961
34,0.035,0.039,0.871
35,0.184,-0.215,1.074
36,-0.078,-0.082,0.832
37,0.152,-0.090,1.105
38,0.020,-0.027,0.844
39,-0.121,0.090,0.875
40,0.156,-0.246,1.215
41,-0.137,-0.047,0.820
42,0.184,0.035,0.996
43,-0.027,-0.012,0.969
44,-0.008,-0.035,0.980
45,0.055,-0.352,0.949
46,-0.074,0.180,0.922
47,0.117,-0.117,1.004
48,0.074,0.047,0.875
49,0.008,-0.184,1.109
50,0.066,-0.133,0.855
51,0.152,0.059,0.980
52,0.016,-0.109,1.000
53,-0.020,0.078,0.957
54,-0.090,-0.227,0.961
55,0.027,0.113,0.922
56,0.020,-0.016,1.000
57,-0.023,-0.246,0.965
58,0.082,-0.012,0.941
59,0.043,-0.062,1.016
60,-0.090,0.000,0.918
61,0.215,-0.066,0.973
62,0.000,-0.047,0.922
63,0.066,-0.031,1.066
64,0.074,-0.242,0.879
65,0.094,0.109,0.965
66,0.020,-0.266,1.059
67,-0.031,0.059,0.930
