Sample,X,Y,Z
0,0.043,-0.008,0.504
1,0.039,-0.082,1.039
2,0.070,-0.141,0.906
3,0.016,-0.074,0.941
4,-0.020,-0.125,1.031
5,-0.031,-0.086,0.984
6,0.039,0.027,0.898
7,-0.004,0.148,1.004
8,0.070,-0.145,1.031
9,0.043,-0.277,0.898
10,0.094,-0.008,0.953
11,0.082,0.066,1.008
12,0.043,0.012,0.871
13,-0.055,-0.203,1.020
14,0.047,-0.074,0.953
15,0.000,-0.113,0.938
16,0.027,-0.070,0.980
17,0.008,-0.016,0.957
18,0.051,-0.055,1.051
19,0.066,-0.047,0.926
20,0.035,0.012,0.918
21,0.113,-0.113,1.012
22,-0.078,-0.004,0.988
23,0.121,-0.117,1.004
24,-0.051,0.027,0.844
25,-0.078,-0.059,0.984
26,0.145,-0.113,0.926
27,-0.086,-0.125,0.992
28,0.184,-0.105,1.020
29,0.000,0.086,0.910
30,0.035,-0.020,1.082
31,0.098,-0.043,0.805
32,-0.117,-0.090,0.961
33,0.031,-0.289,1.098
34,0.059,0.207,0.848
35,0.008,-0.086,1.051
36,0.027,-0.055,1.000
37,0.102,-0.082,0.895
38,0.086,-0.066,1.016
39,-0.086,-0.230,0.953
40,-0.004,0.008,0.875
41,0.133,0.207,0.965
42,-0.016,-0.230,1.098
43,-0.012,-0.125,0.848
44,0.066,-0.023,1.027
45,0.043,-0.062,1.008
46,0.094,-0.039,0.887
47,-0.035,-0.078,0.996
48,-0.043,0.051,0.934
49,0.211,-0.188,0.984
50,-0.066,-0.086,1.023
51,-0.008,0.016,0.871
52,0.020,0.000,0.898
53,0.047,-0.023,1.078
54,0.008,-0.180,0.910
55,0.051,0.031,0.883
56,0.008,-0.031,1.012
57,0.055,-0.102,0.980
58,-0.020,-0.156,0.984
59,0.035,0.078,0.918
60,0.020,-0.031,0.945
61,0.023,-0.121,0.988
62,0.074,-0.121,0.945
63,0.129,0.059,0.922
64,0.020,-0.176,1.020
65,0.004,-0.066,0.988
66,0.066,-0.012,0.949
67,-0.059,0.000,0.980
68,0.055,-0.055,0.945
69,-0.066,-0.113,0.941
70,0.082,-0.109,1.074
71,0.129,0.027,0.883
72,-0.031,0.113,0.922
73,0.086,-0.293,1.016
74,-0.059,-0.223,0.910
75,0.105,0.008,1.027
76,0.031,0.137,0.965
77,-0.016,-0.012,0.930
78,0.098,-0.355,0.988
79,-0.020,-0.039,0.922
80,0.156,0.047,1.020
81,0.000,-0.004,0.914
82,-0.113,-0.176,0.992
83,0.172,-0.020,1.000
84,-0.059,0.090,0.934
85,0.055,-0.160,0.973
86,0.051,-0.117,0.898
87,0.098,-0.082,1.129
88,0.262,0.086,0.949
89,0.133,0.031,0.883
90,0.188,-0.188,1.051
91,0.312,-0.176,0.922
92,0.199,-0.145,1.062
93,0.426,0.125,0.832
94,0.242,-0.086,0.957
95,0.383,-0.199,1.090
96,0.367,-0.172,0.984
97,0.312,0.082,0.922
98,0.391,-0.047,0.906
99,0.309,-0.102,1.000
100,0.258,-0.113,0.977
101,0.230,-0.059,0.910
102,0.270,-0.059,0.930
103,0.230,0.016,1.023
104,0.359,-0.117,1.055
105,0.324,0.070,0.770
106,0.566,0.023,0.984
107,0.586,-0.320,1.008
108,0.281,-0.168,0.797
109,0.473,-0.113,0.922
110,0.305,0.070,0.949
111,0.242,-0.105,0.965
112,0.371,-0.098,0.992
113,0.066,0.094,0.938
114,0.168,-0.305,0.980
115,0.254,-0.074,1.012
116,0.094,0.047,1.031
117,0.180,0.184,0.887
118,0.137,-0.004,0.969
119,0.176,-0.242,1.027
120,0.340,-0.234,0.875
121,0.074,-0.129,0.938
122,0.055,-0.059,1.113
123,0.102,-0.082,0.949
124,-0.008,0.074,0.918
125,0.160,0.020,1.004
126,0.324,-0.090,0.918
127,0.438,-0.137,0.922
128,0.316,-0.324,1.086
129,0.371,0.078,0.914
130,0.238,0.059,0.836
131,-0.074,-0.262,1.055
132,0.059,-0.168,0.992
133,0.098,0.195,0.898
134,0.078,-0.012,1.086
135,0.391,-0.297,0.988
136,0.344,0.039,0.973
137,0.531,0.055,1.027
138,0.352,-0.230,0.934
139,0.219,-0.078,0.938
140,0.285,0.008,0.973
141,0.156,-0.137,0.961
142,0.141,-0.125,0.918
143,0.312,0.094,0.934
144,0.090,-0.215,1.160
145,0.367,-0.230,0.953
146,0.223,0.152,0.805
147,0.297,0.199,1.020
148,0.398,-0.262,0.848
149,0.109,-0.141,0.852
150,0.414,-0.148,1.023
151,0.109,-0.109,0.938
152,0.191,-0.004,0.969
153,0.141,0.113,0.871
154,0.062,-0.086,1.059
155,0.410,-0.379,1.074
156,0.102,0.074,0.801
157,0.410,0.156,0.930
158,0.500,-0.258,0.934
159,0.133,-0.258,1.152
160,0.281,-0.074,0.965
161,0.059,-0.070,0.824
162,-0.031,0.129,1.035
163,0.133,0.062,1.043
164,0.004,-0.172,0.895
165,0.484,-0.027,0.816
166,0.492,-0.164,1.145
167,0.223,-0.066,1.082
168,0.398,-0.164,0.734
169,0.113,-0.059,0.871
170,0.164,-0.031,1.117
171,-0.062,-0.129,0.977
172,0.215,0.188,0.848
173,0.254,-0.086,0.973
174,0.477,-0.254,1.254
175,0.449,-0.156,0.898
176,0.266,0.129,0.852
177,0.227,-0.152,1.004
178,0.109,-0.117,1.031
179,0.312,-0.098,1.012
180,0.012,0.012,0.961
181,0.312,-0.090,1.086
182,0.266,-0.012,1.035
183,0.398,-0.074,0.883
184,0.371,-0.152,0.770
185,0.199,0.082,0.910
186,0.266,-0.309,1.055
187,0.129,0.000,0.844
188,0.191,0.035,0.930
189,0.102,0.164,0.949
190,0.180,-0.105,0.914
191,0.125,-0.414,0.941
192,0.379,0.070,0.914
193,0.035,0.059,0.922
194,0.414,0.031,0.965
195,0.309,-0.168,0.812
196,-0.008,-0.227,1.133
197,0.418,-0.203,0.961
198,0.094,0.039,0.805
199,0.484,-0.008,1.281
200,0.145,-0.098,1.008
201,0.082,-0.008,0.879
202,0.641,-0.242,1.098
203,-0.051,-0.199,0.898
204,0.387,-0.133,1.012
205,0.188,0.172,0.828
206,0.074,0.152,0.984
207,0.496,-0.320,1.180
208,0.109,-0.074,0.781
209,0.301,0.188,0.938
210,0.238,-0.211,1.043
211,0.059,-0.059,0.945
212,0.395,0.039,0.895
213,0.254,-0.172,0.957
214,0.102,-0.098,0.934
215,0.402,-0.023,0.977
216,0.367,-0.059,0.996
217,0.035,-0.270,1.008
218,0.367,-0.164,1.055
219,0.051,0.289,0.770
220,0.180,-0.176,1.090
221,0.293,-0.234,1.012
222,0.090,0.141,0.801
223,0.461,-0.195,1.051
224,0.188,-0.191,1.059
225,0.242,-0.020,0.938
226,0.395,0.121,0.848
227,0.117,-0.113,0.879
228,0.309,-0.266,1.051
229,0.109,-0.059,0.934
230,0.203,-0.078,0.871
231,0.320,0.125,0.969
232,0.363,0.090,1.145
233,0.098,-0.273,1.070
234,0.168,-0.090,0.820
235,0.293,0.105,0.863
236,0.316,-0.078,1.031
237,0.215,-0.422,1.039
238,0.195,0.012,0.805
239,0.180,0.234,0.984
240,0.219,-0.062,1.000
241,0.195,-0.230,0.844
242,0.062,-0.023,0.859
243,0.320,0.039,1.148
244,0.285,0.172,0.809
245,0.371,-0.234,1.047
246,0.332,-0.469,1.051
247,0.172,0.062,0.758
248,0.285,-0.004,1.238
249,0.121,0.035,0.730
250,0.055,-0.320,0.973
251,0.316,-0.164,1.188
252,0.230,0.238,0.992
253,0.160,-0.211,0.984
254,0.473,-0.078,0.906
255,-0.035,0.004,1.090
256,0.535,-0.016,0.957
257,0.066,-0.055,0.664
258,0.035,-0.336,1.176
259,0.301,-0.141,1.090
260,0.066,0.199,0.859
261,0.434,0.055,0.918
262,0.125,0.074,0.895
263,0.387,-0.367,0.941
264,0.414,-0.312,1.004
265,0.043,-0.160,0.949
266,0.316,0.406,0.965
267,0.043,0.156,0.961
268,-0.035,-0.383,1.254
269,0.129,-0.027,0.715
270,0.215,0.184,0.898
271,0.441,-0.090,1.086
272,0.348,-0.461,0.992
273,0.246,-0.098,0.926
274,0.328,0.078,1.008
275,0.199,-0.074,1.090
276,-0.035,-0.016,0.789
277,0.109,-0.152,0.914
278,0.121,-0.043,1.012
279,0.523,0.066,1.016
280,0.188,-0.125,0.910
281,0.199,-0.141,0.969
282,0.246,-0.176,1.113
283,0.340,0.332,0.812
284,0.211,-0.016,0.750
285,0.246,-0.258,0.969
286,0.219,-0.402,1.199
287,0.016,-0.133,1.020
288,0.105,0.266,0.898
289,0.035,0.270,0.969
290,-0.055,-0.113,1.027
291,-0.133,-0.426,0.906
292,-0.094,-0.035,0.895
293,0.090,0.215,0.910
294,0.043,-0.012,1.078
295,-0.137,-0.102,1.105
296,-0.227,-0.051,0.941
297,-0.027,-0.082,0.875
298,0.039,-0.062,0.836
299,-0.164,-0.258,1.059
300,0.047,-0.203,0.895
301,-0.258,-0.070,1.156
302,-0.031,0.117,1.074
303,-0.039,0.098,0.812
304,-0.285,-0.227,1.070
305,0.133,-0.195,1.090
306,-0.078,-0.039,1.023
307,-0.008,0.059,0.844
308,0.285,0.074,0.973
309,-0.027,-0.285,1.234
310,0.086,-0.266,0.867
311,0.176,0.273,0.723
312,0.109,-0.086,0.879
313,0.254,-0.301,1.070
314,0.082,-0.324,1.176
315,0.055,0.328,1.020
316,-0.121,0.180,0.766
317,0.223,-0.074,0.867
318,0.070,-0.156,0.840
319,0.016,-0.055,0.977
320,0.098,-0.195,0.680
321,0.027,0.027,0.949
322,0.477,-0.027,1.168
323,-0.301,0.180,0.762
324,0.023,-0.242,0.969
325,-0.098,-0.309,0.945
326,0.078,0.262,1.027
327,0.355,0.102,0.562
328,0.051,-0.207,1.051
329,-0.074,-0.547,1.410
330,-0.121,0.152,1.098
331,-0.293,0.211,0.820
332,0.121,0.492,0.887
333,-0.234,-0.609,1.297
334,0.195,-0.461,1.234
335,0.195,-0.035,0.781
336,0.047,0.145,1.027
337,0.074,-0.105,0.965
338,-0.312,-0.402,1.156
339,-0.285,0.094,0.984
340,0.004,0.438,0.699
341,0.184,-0.027,0.902
342,0.250,-0.402,0.945
343,0.152,-0.441,1.043
344,0.125,0.207,1.043
345,-0.016,0.367,0.703
346,-0.094,-0.023,0.797
347,-0.254,-0.238,0.922
348,-0.074,-0.238,1.109
349,0.102,0.160,0.875
350,0.281,-0.020,0.898
351,0.324,-0.016,1.094
352,0.199,-0.211,1.031
353,-0.195,-0.258,1.008
354,-0.074,0.207,0.754
355,0.062,0.199,0.801
356,-0.051,-0.371,1.137
357,0.004,-0.168,0.891
358,0.230,0.043,1.262
359,0.199,0.008,0.957
360,-0.004,0.027,0.684
361,-0.031,0.121,0.793
362,-0.035,-0.246,0.926
363,0.090,-0.543,1.109
364,0.168,0.086,1.125
365,-0.023,0.172,0.992
366,-0.062,0.066,0.812
367,-0.230,-0.246,1.074
368,0.059,-0.332,1.035
369,0.039,0.035,0.758
370,-0.016,-0.227,1.082
371,0.211,0.203,1.074
372,0.164,-0.156,1.148
373,0.078,-0.406,0.930
374,-0.078,0.215,0.812
375,-0.055,0.043,0.898
376,0.070,-0.125,0.910
377,0.055,-0.285,1.148
378,0.160,0.250,0.918
379,0.266,0.242,0.840
380,0.223,-0.258,0.871
381,-0.301,-0.445,0.922
382,-0.297,-0.074,0.941
383,0.109,0.543,0.719
384,-0.195,0.027,1.246
385,-0.039,-0.152,0.988
386,0.172,0.086,0.812
387,0.109,-0.266,1.020
388,0.449,-0.129,0.918
389,0.137,-0.266,0.832
390,0.062,0.070,1.164
391,0.156,-0.250,1.133
392,-0.367,-0.230,1.047
393,-0.031,0.230,0.883
394,-0.074,0.090,0.941
395,-0.164,-0.145,0.879
396,0.047,-0.480,1.113
397,-0.254,0.141,0.977
398,0.320,0.496,0.766
399,0.316,-0.012,1.195
400,0.129,-0.578,0.828
401,0.082,-0.449,1.109
402,-0.094,0.070,0.879
403,0.090,0.207,0.684
404,-0.223,-0.352,1.172
405,-0.082,0.070,1.113
406,0.086,0.070,1.113
407,-0.023,-0.148,1.074
408,0.246,0.020,0.902
409,-0.031,0.070,0.848
410,0.086,-0.125,0.973
411,-0.152,-0.121,0.969
412,-0.422,0.074,1.109
413,0.035,0.117,0.848
414,0.102,0.234,0.895
415,0.090,-0.262,0.961
416,0.391,-0.402,0.879
417,0.047,-0.074,0.766
418,0.156,0.016,0.781
419,0.062,-0.164,1.125
420,-0.391,0.211,0.922
421,0.156,0.203,1.078
422,-0.219,-0.020,0.895
423,0.113,-0.266,0.789
424,0.004,-0.316,1.086
425,-0.020,-0.078,1.055
426,0.398,0.246,0.848
427,0.250,-0.125,1.082
428,0.152,-0.527,1.457
429,0.098,-0.172,0.719
430,0.098,0.141,0.836
431,0.129,-0.301,1.156
432,-0.477,-0.355,1.133
433,-0.250,0.215,1.012
434,0.027,0.445,0.742
435,0.168,-0.082,1.090
436,0.078,-0.531,1.180
437,-0.156,-0.148,0.699
438,0.262,0.348,0.969
439,0.098,0.117,0.875
440,-0.109,-0.270,0.723
441,0.109,-0.348,0.910
442,-0.176,-0.074,1.191
443,0.004,0.234,1.031
444,0.035,-0.004,0.836
445,0.047,0.047,0.895
446,0.172,-0.043,1.090
447,-0.008,-0.188,0.961
448,-0.035,-0.070,0.977
449,0.191,-0.020,0.926
450,-0.062,0.184,1.051
451,0.066,0.020,0.895
452,-0.176,-0.438,0.992
453,0.031,-0.145,1.047
454,0.051,-0.098,0.953
455,-0.098,0.055,0.977
456,0.086,0.168,1.051
457,0.227,0.168,0.879
458,0.312,-0.227,1.074
459,0.133,-0.469,0.906
460,-0.004,-0.164,0.941
461,-0.008,0.125,1.023
462,-0.059,0.160,0.984
463,-0.016,0.059,0.914
464,-0.047,-0.344,0.906
465,-0.094,-0.301,0.977
466,0.281,0.031,1.020
467,0.031,0.105,0.887
468,0.234,-0.055,1.059
469,0.102,-0.008,0.773
470,-0.141,0.035,0.871
471,0.211,-0.184,0.934
472,0.047,-0.383,0.895
473,-0.203,-0.121,1.102
474,0.109,0.219,0.969
475,-0.102,0.262,0.824
476,0.156,-0.188,1.008
477,-0.039,-0.453,0.914
478,0.031,-0.137,1.098
479,0.199,0.047,0.855
480,-0.137,0.168,0.859
481,-0.098,-0.117,1.266
482,-0.176,-0.188,0.961
483,-0.184,0.039,0.820
484,-0.027,-0.074,1.152
485,0.074,-0.055,1.012
486,0.234,-0.035,0.879
487,0.250,-0.211,1.070
488,0.332,-0.074,1.031
489,0.031,-0.207,0.816
490,-0.215,-0.227,1.043
491,-0.250,0.109,0.855
492,-0.113,0.234,0.996
493,-0.137,0.000,1.035
494,-0.031,-0.020,0.930
495,0.289,-0.082,0.934
496,0.039,-0.043,0.859
497,0.094,-0.160,0.844
498,0.078,0.109,0.855
499,0.004,-0.113,0.996
500,0.016,-0.172,1.016
501,0.039,0.078,0.945
502,0.074,-0.016,0.922
503,0.156,-0.047,0.945
504,0.086,-0.371,1.105
505,0.172,0.051,0.926
506,0.195,0.309,0.938
507,-0.043,-0.316,1.152
508,-0.016,-0.152,1.129
509,0.047,0.039,0.898
510,-0.191,0.004,1.137
511,0.078,0.145,0.816
512,0.078,-0.145,0.848
513,0.020,-0.383,1.184
514,0.172,-0.188,0.887
515,-0.020,0.199,0.961
516,0.070,0.016,0.988
517,0.102,-0.230,0.891
518,-0.207,-0.195,0.977
519,0.000,0.047,0.867
520,0.082,0.070,0.770
521,0.082,-0.238,1.070
522,-0.012,-0.184,0.891
523,-0.074,0.125,0.852
524,0.145,0.062,0.988
525,-0.133,0.047,0.926
526,0.219,-0.152,0.762
527,-0.066,-0.258,1.129
528,0.242,-0.066,1.098
529,-0.066,0.129,0.801
530,0.211,0.059,1.078
531,0.094,-0.273,0.867
532,-0.273,-0.320,1.059
533,-0.031,-0.066,1.039
534,0.070,0.199,0.859
535,0.258,0.047,1.027
