Sample,Timestamp,Measured Motor Steps,Target Motor Steps
0,0.05,-3740.14,-3873.87
1,0.61,-3740.14,-3873.87
2,1.07,-3740.17,-3873.87
3,1.53,-3740.16,-3873.87
4,2.08,-3740.17,-3873.87
5,2.54,-3740.16,-3873.87
6,3.09,-3740.15,-3873.87
7,3.55,-3740.15,-3873.87
8,4.10,-3740.12,-3873.87
9,4.57,-3740.15,-3873.87
10,5.11,-3740.15,-3873.87
11,5.58,-3740.16,-3873.87
12,6.05,-3740.14,-3873.87
13,6.60,-3740.12,-3873.87
14,7.07,-3740.15,-3873.87
15,7.54,-3740.19,-3873.87
16,8.08,-3740.16,-3873.87
17,8.55,-3740.14,-3873.87
18,9.09,-3740.11,-3873.87
19,9.57,-3740.17,-3873.87
20,10.04,-3740.15,-3873.87
21,10.58,-3740.14,-3873.87
22,11.05,-3740.15,-3873.87
23,11.60,-3740.15,-3873.87
24,12.07,-3740.15,-3873.87
25,12.55,-3740.15,-3873.87
26,13.09,-3740.15,-3873.87
27,13.55,-3740.16,-3873.87
28,14.09,-3740.15,-3873.87
29,14.57,-3740.15,-3873.87
30,15.11,-3740.15,-3873.87
31,15.57,-3740.14,-3873.87
32,16.11,-3740.15,-3873.87
33,16.59,-3740.15,-3873.87
34,17.05,-3740.16,-3873.87
35,17.59,-3740.15,-3873.87
36,18.07,-3740.14,-3873.87
37,18.54,-3740.16,-3873.87
38,19.08,-3740.20,-3873.87
39,19.55,-3740.16,-3873.87
40,20.11,-3740.21,-3873.87
41,20.58,-3740.14,-3873.87
42,21.04,-3740.14,-3873.87
43,21.59,-3740.09,-3873.87
44,22.05,-3740.16,-3873.87
45,22.59,-3740.16,-3873.87
46,23.06,-3740.17,-3873.87
47,23.61,-3740.08,-3873.87
48,24.08,-3740.16,-3873.87
49,24.56,-3740.20,-3873.87
50,25.10,-3740.11,-3873.87
51,25.57,-3740.12,-3873.87
52,26.10,-3740.16,-3873.87
53,26.57,-3740.17,-3873.87
54,27.04,-3740.14,-3873.87
55,27.58,-3740.16,-3873.87
56,28.04,-3740.17,-3873.87
57,28.60,-3740.20,-3873.87
58,29.06,-3740.14,-3873.87
59,29.61,-3740.20,-3873.87
60,30.07,-3740.16,-3873.87
61,30.55,-3740.16,-3873.87
62,31.09,-3740.15,-3873.87
63,31.56,-3740.17,-3873.87
64,32.10,-3740.19,-3873.87
65,32.57,-3740.15,-3873.87
66,33.11,-3740.15,-3873.87
67,33.59,-3740.14,-3873.87
68,34.05,-3740.16,-3873.87
69,34.60,-3740.15,-3873.87
70,35.07,-3740.19,-3873.87
71,35.54,-3740.20,-3873.87
72,36.08,-3740.15,-3873.87
73,36.55,-3740.17,-3873.87
74,37.10,-3740.15,-3873.87
75,37.58,-3740.14,-3873.87
76,38.04,-3740.15,-3873.87
77,38.60,-3740.15,-3873.87
78,39.06,-3740.15,-3873.87
79,39.61,-3740.14,-3873.87
80,40.07,-3740.15,-3873.87
81,40.55,-3740.15,-3873.87
82,41.09,-3740.15,-3873.87
83,41.56,-3740.16,-3873.87
84,42.10,-3740.15,-3873.87
85,42.58,-3740.14,-3873.87
86,43.05,-3740.15,-3873.87
87,43.61,-3740.17,-3873.87
88,44.07,-3740.17,-3873.87
89,44.61,-3740.16,-3873.87
90,45.07,-3740.15,-3873.87
91,45.54,-3740.15,-3873.87
92,46.09,-3740.12,-3873.87
93,46.56,-3740.17,-3873.87
94,47.09,-3740.12,-3873.87
95,47.57,-3740.15,-3873.87
96,48.04,-3740.14,-3873.87
97,48.59,-3740.17,-3873.87
98,49.05,-3740.16,-3873.87
99,49.60,-3740.14,-3873.87
100,50.06,-3740.15,-3873.87
101,50.61,-3740.14,-3873.87
102,51.07,-3740.14,-3873.87
103,51.61,-3740.14,-3873.87
104,52.08,-3740.17,-3873.87
105,52.55,-3740.14,-3873.87
106,53.09,-3740.15,-3873.87
107,53.56,-3740.12,-3873.87
108,54.10,-3740.12,-3873.87
109,54.57,-3740.19,-3873.87
110,55.04,-3740.16,-3873.87
111,55.59,-3740.17,-3873.87
112,56.06,-3740.15,-3873.87
113,56.60,-3740.16,-3873.87
114,57.07,-3740.15,-3873.87
115,57.55,-3740.17,-3873.87
116,58.08,-3740.14,-3873.87
117,58.55,-3740.16,-3873.87
118,59.09,-3740.17,-3873.87
119,59.58,-3740.15,-3873.87
120,60.05,-3740.17,-3873.87
121,60.60,-3740.17,-3873.87
122,61.07,-3740.17,-3873.87
123,61.54,-3740.17,-3873.87
124,62.08,-3740.15,-3873.87
125,62.54,-3740.14,-3873.87
126,63.09,-3740.19,-3873.87
127,63.55,-3740.19,-3873.87
128,64.09,-3740.16,-3873.87
129,64.57,-3740.15,-3873.87
130,65.11,-3740.17,-3873.87
131,65.58,-3740.19,-3873.87
132,66.11,-3740.12,-3873.87
133,66.58,-3740.17,-3873.87
134,67.05,-3740.16,-3873.87
135,67.60,-3740.17,-3873.87
136,68.07,-3740.12,-3873.87
137,68.53,-3740.16,-3873.87
138,69.08,-3740.14,-3873.87
139,69.55,-3740.19,-3873.87
140,70.11,-3740.16,-3740.17
141,70.58,-3740.12,-3740.17
142,71.07,-3740.03,-3740.17
143,71.55,-3739.92,-3740.17
144,72.09,-3739.87,-3740.17
145,72.56,-3739.71,-3740.17
146,73.04,-3739.54,-3740.17
147,73.59,-3739.36,-3740.17
148,74.05,-3739.18,-3740.17
149,74.60,-3738.88,-3740.17
150,75.07,-3738.68,-3740.17
151,75.55,-3738.43,-3740.17
152,76.11,-3738.16,-3740.17
153,76.58,-3737.89,-3740.17
154,77.05,-3737.63,-3740.17
155,77.60,-3737.39,-3740.17
156,78.09,-3737.06,-3740.17
157,78.56,-3736.84,-3740.17
158,79.04,-3736.58,-3740.17
159,79.58,-3736.33,-3740.17
160,80.06,-3736.10,-3740.17
161,80.61,-3735.79,-3740.17
162,81.07,-3735.52,-3740.17
163,81.55,-3735.36,-3740.17
164,82.10,-3735.12,-3740.17
165,82.57,-3734.90,-3740.17
166,83.04,-3734.74,-3740.17
167,83.59,-3734.55,-3740.17
168,84.07,-3734.39,-3740.17
169,84.54,-3734.24,-3740.17
170,85.10,-3734.12,-3740.17
171,85.57,-3734.02,-3740.17
172,86.04,-3733.91,-3740.17
173,86.58,-3733.83,-3740.17
174,87.06,-3733.78,-3740.17
175,87.61,-3733.73,-3740.17
176,88.08,-3733.69,-3740.17
177,88.56,-3733.69,-3740.17
178,89.04,-3733.69,-3740.17
179,89.58,-3733.70,-3740.17
180,90.06,-3733.72,-3740.17
181,90.61,-3733.73,-3740.17
182,91.08,-3733.73,-3740.17
183,91.55,-3733.85,-3740.17
184,92.11,-3733.89,-3740.17
185,92.59,-3733.94,-3740.17
186,93.06,-3734.01,-3740.17
187,93.61,-3734.03,-3740.17
188,94.08,-3734.09,-3740.17
189,94.55,-3734.17,-3740.17
190,95.10,-3734.24,-3740.17
191,95.57,-3734.24,-3740.17
192,96.04,-3734.29,-3740.17
193,96.59,-3734.36,-3740.17
194,97.06,-3734.36,-3740.17
195,97.61,-3734.40,-3740.17
196,98.08,-3734.46,-3740.17
197,98.54,-3734.50,-3740.17
198,99.09,-3734.53,-3740.17
199,99.56,-3734.55,-3740.17
200,100.03,-3734.58,-3740.17
201,100.58,-3734.58,-3740.17
202,101.06,-3734.61,-3740.17
203,101.61,-3734.59,-3740.17
204,102.08,-3734.66,-3740.17
205,102.55,-3734.63,-3740.17
206,103.11,-3734.63,-3740.17
207,103.59,-3734.63,-3740.17
208,104.05,-3734.61,-3740.17
209,104.61,-3734.61,-3740.17
210,105.07,-3734.63,-3740.17
211,105.55,-3734.63,-3740.17
212,106.10,-3734.59,-3740.17
213,106.57,-3734.58,-3740.17
214,107.05,-3734.59,-3740.17
215,107.60,-3734.58,-3740.17
216,108.08,-3734.59,-3740.17
217,108.55,-3734.59,-3740.17
218,109.10,-3734.59,-3740.17
219,109.58,-3734.61,-3740.17
220,110.04,-3734.62,-3740.17
221,110.59,-3734.61,-3740.17
222,111.06,-3734.61,-3740.17
223,111.53,-3734.61,-3740.17
