Sample,Timestamp,Measured Motor Steps,Target Motor Steps
0,0.05,-3740.33,-3804.17
1,0.59,-3740.32,-3804.17
2,1.06,-3740.37,-3804.17
3,1.60,-3740.31,-3804.17
4,2.08,-3740.28,-3804.17
5,2.55,-3740.33,-3804.17
6,3.09,-3740.34,-3804.17
7,3.56,-3740.37,-3804.17
8,4.04,-3740.31,-3804.17
9,4.58,-3740.33,-3804.17
10,5.05,-3740.34,-3804.17
11,5.59,-3740.33,-3804.17
12,6.06,-3740.32,-3804.17
13,6.60,-3740.34,-3804.17
14,7.07,-3740.37,-3804.17
15,7.61,-3740.32,-3804.17
16,8.09,-3740.28,-3804.17
17,8.56,-3740.34,-3804.17
18,9.11,-3740.33,-3804.17
19,9.58,-3740.28,-3804.17
20,10.05,-3740.32,-3804.17
21,10.60,-3740.31,-3804.17
22,11.07,-3740.34,-3804.17
23,11.54,-3740.31,-3804.17
Data lost
